Id,close,coin,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
2132,0.0004683,MCRN,1,JordanManual,CCCAGG,0.0004683,0.0004683,0.0004683,,1512932400,2017-12-26 23:53:31.538442,0.0,0.0
2133,0.0004612,MCRN,1,JordanManual,CCCAGG,0.0004612,0.0004612,0.0004612,,1512936000,2017-12-26 23:53:31.538442,0.0,0.0
2134,0.0004365,MCRN,1,JordanManual,CCCAGG,0.0004365,0.0004365,0.0004365,,1512939600,2017-12-26 23:53:31.538442,0.0,0.0
2135,0.0004518,,1,JordanManual,CCCAGG,0.0004518,0.0004365,0.0004365,MCRN,1512939600,2017-12-28 01:30:58.419200,0.0,0.0
2136,0.0004373,MCRN,1,JordanManual,CCCAGG,0.0004373,0.0004373,0.0004373,,1512943200,2017-12-26 23:53:31.538442,0.0,0.0
2137,0.0004518,MCRN,1,JordanManual,CCCAGG,0.0004518,0.0004518,0.0004518,,1512946800,2017-12-26 23:53:31.538442,0.0,0.0
2138,0.0004613,MCRN,1,JordanManual,CCCAGG,0.0004613,0.0004613,0.0004613,,1512950400,2017-12-26 23:53:31.538442,0.0,0.0
2139,0.0004898,,1,JordanManual,CCCAGG,0.0004898,0.0004613,0.0004613,MCRN,1512950400,2017-12-28 01:30:58.419200,0.0,0.0
2140,0.0004803,MCRN,1,JordanManual,CCCAGG,0.0004803,0.0004803,0.0004803,,1512954000,2017-12-26 23:53:31.538442,0.0,0.0
2141,0.0004898,MCRN,1,JordanManual,CCCAGG,0.0004898,0.0004898,0.0004898,,1512957600,2017-12-26 23:53:31.538442,0.0,0.0
2142,0.0004884,,1,JordanManual,CCCAGG,0.0004895,0.0004876,0.0004895,MCRN,1512961200,2017-12-28 01:30:58.419200,0.0,0.0
2143,0.0004895,MCRN,1,JordanManual,CCCAGG,0.0004895,0.0004895,0.0004895,,1512961200,2017-12-26 23:53:31.538442,0.0,0.0
2144,0.0004876,MCRN,1,JordanManual,CCCAGG,0.0004876,0.0004876,0.0004876,,1512964800,2017-12-26 23:53:31.538442,0.0,0.0
2145,0.0004884,MCRN,1,JordanManual,CCCAGG,0.0004884,0.0004884,0.0004884,,1512968400,2017-12-26 23:53:31.538442,0.0,0.0
2146,0.0005016,MCRN,1,JordanManual,CCCAGG,0.0005016,0.0005016,0.0005016,,1512972000,2017-12-26 23:53:31.538442,0.0,0.0
2147,0.0004957,,1,JordanManual,CCCAGG,0.0005016,0.0004957,0.0005016,MCRN,1512972000,2017-12-28 01:30:58.419200,0.0,0.0
2148,0.0004997,MCRN,1,JordanManual,CCCAGG,0.0004997,0.0004997,0.0004997,,1512975600,2017-12-26 23:53:31.538442,0.0,0.0
2149,0.0004957,MCRN,1,JordanManual,CCCAGG,0.0004957,0.0004957,0.0004957,,1512979200,2017-12-26 23:53:31.538442,0.0,0.0
2150,0.0004927,,1,JordanManual,CCCAGG,0.0004998,0.0004927,0.0004963,MCRN,1512982800,2017-12-28 01:30:58.419200,0.0,0.0
2151,0.0004963,MCRN,1,JordanManual,CCCAGG,0.0004963,0.0004963,0.0004963,,1512982800,2017-12-26 23:53:31.538442,0.0,0.0
2152,0.0004998,MCRN,1,JordanManual,CCCAGG,0.0004998,0.0004998,0.0004998,,1512986400,2017-12-26 23:53:31.538442,0.0,0.0
2153,0.0004927,MCRN,1,JordanManual,CCCAGG,0.0004927,0.0004927,0.0004927,,1512990000,2017-12-26 23:53:31.538442,0.0,0.0
2154,0.0004948,MCRN,1,JordanManual,CCCAGG,0.0004948,0.0004948,0.0004948,,1512993600,2017-12-26 23:53:31.538442,0.0,0.0
2155,0.0004899,,1,JordanManual,CCCAGG,0.0004948,0.0004899,0.0004948,MCRN,1512993600,2017-12-28 01:30:58.419200,0.0,0.0
2156,0.0004912,MCRN,1,JordanManual,CCCAGG,0.0004912,0.0004912,0.0004912,,1512997200,2017-12-26 23:53:31.538442,0.0,0.0
2157,0.0004899,MCRN,1,JordanManual,CCCAGG,0.0004899,0.0004899,0.0004899,,1513000800,2017-12-26 23:53:31.538442,0.0,0.0
