CoinName,PreMinedValue,Name,Algorithm,FullyPremined,Url,ImageUrl,Id,ProofType,Sponsored,SortOrder,TotalCoinSupply,FullName,TotalCoinsFreeFloat,Symbol,source,timestamp_api_call
AltCommunity Coin,N/A,ALTCOM,SkunkHash,0,/coins/altcom/overview,/media/14913436/altcom.png,369110,PoW/PoS,False,1782,163358.72760916,AltCommunity Coin (ALTCOM),N/A,ALTCOM,cryptocompare,2017-12-26 13:58:56.420913
AltoCar,N/A,ALTOCAR,N/A,0,/coins/altocar/overview,/media/9350746/altc.png,240439,N/A,False,1522,N/A,AltoCar (ALTOCAR),N/A,ALTOCAR,cryptocompare,2017-12-26 13:58:56.420913
AeroMe,N/A,AM,X13,0,/coins/am/overview,/media/20191/am.png,5330,PoW/PoS,False,298,12000000,AeroMe (AM),N/A,AM,cryptocompare,2017-12-26 13:58:56.420913
Ambrosus,N/A,AMB,N/A,0,/coins/amb/overview,/media/9350739/amb.png,238733,N/A,False,1518,361477438,Ambrosus (AMB),N/A,AMB,cryptocompare,2017-12-26 13:58:56.420913
AmberCoin,N/A,AMBER,X11,0,/coins/amber/overview,/media/20187/amber.png,5332,PoW/PoS,False,300,1000000000,AmberCoin (AMBER),N/A,AMBER,cryptocompare,2017-12-26 13:58:56.420913
AmericanCoin,N/A,AMC,Scrypt,0,/coins/amc/overview,/media/19601/amc.png,4327,PoW,False,40,168000000,AmericanCoin (AMC),N/A,AMC,cryptocompare,2017-12-26 13:58:56.420913
AMIS,N/A,AMIS,N/A,0,/coins/amis/overview,/media/1382862/amis.png,57676,N/A,False,1147,20000000,AMIS (AMIS),N/A,AMIS,cryptocompare,2017-12-26 13:58:56.420913
Ammo Rewards,N/A,AMMO,N/A,0,/coins/ammo/overview,/media/1383778/ammo.png,182463,PoS,False,1336,77777777,Ammo Rewards (AMMO),N/A,AMMO,cryptocompare,2017-12-26 13:58:56.420913
Synereo,N/A,AMP,N/A,0,/coins/amp/overview,/media/350825/amp.png,18244,Pow/PoSC,False,501,927786732.665189,Synereo (AMP),N/A,AMP,cryptocompare,2017-12-26 13:58:56.420913
Amsterdam Coin,N/A,AMS,Quark,0,/coins/ams/overview,/media/350562/ams.png,15284,PoW/PoS,False,480,N/A,Amsterdam Coin (AMS),N/A,AMS,cryptocompare,2017-12-26 13:58:56.420913
Acumen,N/A,AMT,N/A,0,/coins/amt/overview,/media/9350756/amt.jpg,243045,N/A,False,1529,N/A,Acumen (AMT),N/A,AMT,cryptocompare,2017-12-26 13:58:56.420913
Amygws,N/A,AMY,Scrypt,0,/coins/amy/overview,/media/1382935/amy.jpg,59304,PoW,False,1154,23333333,Amygws (AMY),N/A,AMY,cryptocompare,2017-12-26 13:58:56.420913
AnalCoin,N/A,ANAL,SHA256,0,/coins/anal/overview,/media/1381991/anal.jpg,37359,N/A,False,991,600000,AnalCoin (ANAL),N/A,ANAL,cryptocompare,2017-12-26 13:58:56.420913
Anoncoin,N/A,ANC,N/A,0,/coins/anc/overview,/media/19598/anc.png,27370,PoW,False,719,4200000,Anoncoin (ANC),N/A,ANC,cryptocompare,2017-12-26 13:58:56.420913
Anacrypt,N/A,ANCP,N/A,0,/coins/ancp/overview,/media/1383863/ancp.png,196572,N/A,False,1391,10000,Anacrypt (ANCP),N/A,ANCP,cryptocompare,2017-12-26 13:58:56.420913
AndromedaCoin,N/A,AND,X11,0,/coins/and/overview,/media/351797/and.png,30568,PoW/PoS,False,870,N/A,AndromedaCoin (AND),N/A,AND,cryptocompare,2017-12-26 13:58:56.420913
Aragon,N/A,ANT,N/A,0,/coins/ant/overview,/media/1383244/ant.png,78152,N/A,False,1216,39609524,Aragon (ANT),N/A,ANT,cryptocompare,2017-12-26 13:58:56.420913
AntiLitecoin,N/A,ANTC,Scrypt,0,/coins/antc/overview,/media/351690/antc.png,29758,PoW,False,822,84000000,AntiLitecoin (ANTC),N/A,ANTC,cryptocompare,2017-12-26 13:58:56.420913
Anti Bitcoin,N/A,ANTI,SHA256,0,/coins/anti/overview,/media/350972/anti.png,20828,PoW,False,580,42000000,Anti Bitcoin (ANTI),N/A,ANTI,cryptocompare,2017-12-26 13:58:56.420913
