has_pricing,symbol
1,REA
1,REAL
0,REBL
1,REC
1,RED
1,REE
1,REP
1,REQ
1,REV
1,REX
0,RFL
1,RGC
0,RHEA
1,RHOC
1,RIC
1,RICE
1,RIDE
1,RING
1,RIPO
1,RIPT
1,RISE
1,RIYA
1,RKC
1,RLC
1,RLX
1,RMS
1,RNC
0,RNDR
1,RNS
0,ROCK
0,ROCK*
0,ROK
1,ROOT
1,ROOTS
1,ROS
1,ROUND
1,ROYAL
1,RPC
1,RPX
1,RRT
1,RT2
1,RUBIT
1,RUP
1,RUPX
1,RUST
0,RUSTBITS
1,RVT
1,RYC
1,RYCN
1,RYZ
1,RZR
1,S8C
1,SAFEX
1,SAK
1,SALT
1,SAN
1,SAND
1,SANDG
1,SAR
1,SAT2
1,SBC
1,SBD
1,SBTC
1,SC
1,SCASH
1,SCL
1,SCN
0,SCOR
1,SCORE
1,SCOT
0,SCR
1,SCRPT
1,SCRT
1,SCT
0,SCT*
1,SDAO
1,SDC
1,SDP
1,SEEDS
1,SEL
1,SEN
1,SEND
0,SENSE
1,SEQ
0,SETH
1,SFC
1,SFE
1,SFR
1,SH
1,SHADE
1,SHIFT
1,SHLD
1,SHORTY
0,SHP
1,SHREK
1,SIB
1,SIFT
1,SIGT
1,SIGU
1,SILK
1,SJCX
1,SKB
1,SKIN
1,SKR
0,SKR*
1,SKY
1,SLG
1,SLING
1,SLM
1,SLR
1,SLS
1,SMAC
1,SMART
1,SMC
1,SMF
1,SMLY
0,SMNX
1,SMSR
1,SMT
0,SMT*
1,SNC
1,SND
1,SNGLS
0,SNK
1,SNM
1,SNOV
1,SNRG
0,SNS
1,SNT
1,SOAR
1,SOCC
1,SOIL
1,SOJ
1,SOLE
1,SONG
1,SOON
1,SOUL
1,SP
1,SPA
1,SPACE
1,SPANK
1,SPC
1,SPEC
1,SPHR
0,SPHTX
1,SPKTR
1,SPM
1,SPN
1,SPORT
1,SPOTS
1,SPR
1,SPRTS
1,SPT
1,SPX
1,SQL
0,SQP
1,SRC
0,SRC*
0,SRN
0,SRT
1,SSD
1,SSTC
1,SSV
1,STA
1,STA*
0,STAK
1,STALIN
1,STAR
1,STAR*
1,START
1,STC
1,STCN
1,STEEM
1,STEPS
0,STEX
1,STH
1,STHR
1,STO
0,STOCKBET
1,STORJ
1,STORM
1,STP
1,STR*
1,STRAT
1,STS
1,STU
1,STV
1,STX
1,SUB
1,SUB*
1,SUMO
1,SUP
1,SUPER
1,SUR
1,SWARM
1,SWEET
1,SWIFT
1,SWING
1,SWT
1,SXC
0,SYC
1,SYNC
1,SYNX
1,SYS
1,TAAS
1,TAB
1,TAG
1,TAGR
1,TAJ
1,TAK
1,TAM
1,TAP
0,TAT
0,TAU
1,TBCX
1,TCR
1,TDFB
1,TEAM
1,TEC
1,TECH
1,TEK
1,TELL
1,TENNET
1,TER
1,TES
1,TESLA
1,TFL
1,TGC
1,TGT
1,THC
1,THNX
1,THS
1,TIA
1,TIC
1,TIE
1,TIME
1,TIO
0,TIO*
1,TIT
1,TIX
1,TKN
1,TKN*
1,TKR
1,TKS
0,TKT
1,TMC
1,TME
0,TMT
0,TNB
1,TNT
1,TOA
1,TODAY
1,TOM
1,TOR
1,TOT
1,TPAY
1,TPG
1,TRA
1,TRC
1,TRCT
1,TRI
1,TRIA
0,TRIBE
1,TRICK
1,TRIG
0,TRIP
1,TRK
1,TRON
1,TRST
1,TRUMP
1,TRUST
1,TRV
1,TRX
1,TSE
1,TTC
0,TTT
1,TUR
1,TWIST
1,TWLV
1,TX
1,TZC
1,U
0,UAEC
1,UBIQ
1,UBQ
1,UET
1,UFO
1,UFR
1,UGT
1,UIS
1,UKG
1,ULTC
1,UMC
1,UNAT
1,UNB
1,UNC
1,UNF
1,UNI
1,UNIFY
1,UNIQ
1,UNIT
1,UNITS
1,UNITY
1,UNO
0,UP
1,UQC
1,UR
1,URO
1,USC
1,USDE
1,USDT
1,UTC
1,UTH
1,UTIL
0,UTK
0,UTN
1,VAPOR
1,VDO
1,VEC2
1,VEE
1,VEG
1,VEN
1,VERI
1,VERSA
1,VIA
1,VIB
1,VIBE
1,VIDZ
1,VIOR
1,VIP
1,VIRAL
1,VISIO
1,VIU
1,VIVO
1,VLT
1,VLTC
1,VMC
0,VNT
1,VOISE
1,VOLT
1,VOOT
0,VOT
1,VOX
1,VOYA
1,VPRC
1,VRC
1,VRM
1,VRP*
1,VRS
1,VSL
1,VSX
1,VTA
1,VTC
1,VTR
1,VTX
1,VTY
1,VUC
0,VZT
1,WABI
0,WAN
1,WAND
1,WARP
1,WASH
1,WAVES
0,WAX
1,WAY
1,WBB
1,WBTC
1,WC
1,WCT
1,WDC
1,WEALTH
0,WEB
1,WEX
1,WGC
1,WGO
1,WGR
0,WHL
1,WIC
1,WILD
1,WINE
1,WINGS
1,WINK
1,WISC
0,WISH*
0,WIZ
1,WMC
1,WNET
1,WOLF
1,WOLK
1,WOMEN
1,WOP
1,WORM
0,WPR
1,WRC
1,WRC*
1,WRT
0,WSC
0,WSH
1,WSX
1,WTC
1,WTT
0,WYR
1,X2
0,X8X
1,XAI
0,XAI*
1,XAS
1,XAU
1,XAUR
1,XBC
1,XBL
1,XBOT
1,XBS
1,XBTS
1,XBY
1,XC
1,XCASH
1,XCE
1,XCI
0,XCJ
1,XCN
1,XCO
1,XCP
1,XCR
1,XCRE
0,XCS
1,XCT
1,XCXT
1,XDB
1,XDC
1,XDE2
1,XDN
1,XDP
1,XDQ
1,XEL
1,XEM
1,XEN
1,XFC
1,XG
1,XGB
1,XGR
1,XHI
1,XID
1,XID*
1,XIN
1,XIOS
1,XJO
1,XLB
1,XLC
1,XLM
1,XLR
1,XMCC
1,XMG
1,XMR
1,XMRG
1,XMS
1,XMY
1,XNA
1,XNC
0,XNC*
1,XNG
1,XNN
1,XNX
1,XP
1,XPB
1,XPD
1,XPH
1,XPM
1,XPO
1,XPOKE
1,XPRO
1,XPS
1,XPTX
1,XPY
1,XQN
1,XRA
1,XRB
1,XRE
0,XRED
1,XRL
1,XRP
0,XSB
1,XSEED
0,XSH
1,XSI
1,XSP
1,XSPEC
1,XST
1,XT
1,XTC
1,XTZ
1,XUC
0,XUC*
0,XUN
1,XUP
1,XVC
1,XVE
1,XVG
1,XVP
1,XWC
1,XWT
1,XXX
1,XZC
1,YAC
1,YAY
1,YBC
1,YES
1,YMC
1,YOC
1,YOVI
1,YOYOW
0,Z2
0,ZAB
1,ZBC
1,ZCC
1,ZCG
1,ZCL
1,ZEC
1,ZECD
1,ZED
1,ZEIT
1,ZEN
1,ZENI
0,ZEPH
1,ZER
1,ZET
1,ZET2
1,ZLQ
0,ZNA
1,ZNE
0,ZNT
1,ZNY
1,ZOI
1,ZOOM
1,ZRC
1,ZRC*
1,ZRX
1,ZSC
1,ZSE
1,ZUR
1,ZXT
1,ZYD
0,xGOx
