Comments,Followers,PageViews,Points,Posts,socialsource,source,symbol,symbol_id,timestamp_api_call
2.0,64.0,5099,1820.0,8.0,CryptoCompare,cryptocompare,ADZ,20656,2017-12-30 17:55:50.998519
1.0,104.0,10552,2960.0,14.0,CryptoCompare,cryptocompare,AE,190978,2017-12-30 17:55:46.331366
,1.0,591,25.0,,CryptoCompare,cryptocompare,AEC,20986,2017-12-30 17:55:52.798729
34.0,387.0,35486,10815.0,32.0,CryptoCompare,cryptocompare,AEON,20730,2017-12-30 17:55:51.348000
,1.0,113,25.0,,CryptoCompare,cryptocompare,AERM,411647,2017-12-30 17:56:27.702712
,7.0,1267,175.0,,CryptoCompare,cryptocompare,AERO,4324,2017-12-30 17:56:30.144118
0.0,25.0,3471,675.0,2.0,CryptoCompare,cryptocompare,AGRS,191142,2017-12-30 17:55:46.526303
,2.0,301,50.0,,CryptoCompare,cryptocompare,AGS,4326,2017-12-30 17:56:30.270314
4.0,23.0,3496,665.0,2.0,CryptoCompare,cryptocompare,AHT,175611,2017-12-30 17:55:45.233081
1.0,32.0,2493,910.0,4.0,CryptoCompare,cryptocompare,AHT*,186064,2017-12-30 17:55:45.768783
,13.0,1962,325.0,0.0,CryptoCompare,cryptocompare,AIB,20806,2017-12-30 17:55:52.474051
,24.0,1453,600.0,,CryptoCompare,cryptocompare,AID,368770,2017-12-30 17:56:22.400947
5.0,58.0,3289,1950.0,18.0,CryptoCompare,cryptocompare,AION,431235,2017-12-30 17:56:29.475657
2.0,69.0,6724,1995.0,10.0,CryptoCompare,cryptocompare,AIR,338555,2017-12-30 17:56:18.062032
,21.0,3606,550.0,1.0,CryptoCompare,cryptocompare,AIR*,30182,2017-12-30 17:56:11.614811
,12.0,2325,325.0,1.0,CryptoCompare,cryptocompare,ALC,33401,2017-12-30 17:56:16.362001
,11.0,1165,275.0,,CryptoCompare,cryptocompare,ALEX,45607,2017-12-30 17:56:37.546585
,4.0,564,100.0,,CryptoCompare,cryptocompare,ALF,4325,2017-12-30 17:56:30.059526
1.0,52.0,4874,1485.0,7.0,CryptoCompare,cryptocompare,ALIS,331603,2017-12-30 17:56:15.078922
,9.0,752,225.0,0.0,CryptoCompare,cryptocompare,ALN,4328,2017-12-30 17:56:30.897167
,6.0,332,225.0,3.0,CryptoCompare,cryptocompare,ALQO,402782,2017-12-30 17:56:26.512286
,14.0,1631,350.0,0.0,CryptoCompare,cryptocompare,ALTCOM,369110,2017-12-30 17:56:22.138700
1.0,21.0,2129,760.0,9.0,CryptoCompare,cryptocompare,ALTOCAR,240439,2017-12-30 17:56:00.841270
,0.0,412,0.0,,CryptoCompare,cryptocompare,AM,5330,2017-12-30 17:56:44.163284
2.0,89.0,12148,2495.0,10.0,CryptoCompare,cryptocompare,AMB,238733,2017-12-30 17:56:01.673372
,12.0,1843,350.0,2.0,CryptoCompare,cryptocompare,AMBER,5332,2017-12-30 17:56:45.798933
,5.0,660,150.0,1.0,CryptoCompare,cryptocompare,AMC,4327,2017-12-30 17:56:30.554621
5.0,59.0,8717,1850.0,13.0,CryptoCompare,cryptocompare,AMIS,57676,2017-12-30 17:56:46.836864
,,211,,,CryptoCompare,cryptocompare,AMMO,182463,2017-12-30 17:55:45.707190
21.0,283.0,24943,8185.0,36.0,CryptoCompare,cryptocompare,AMP,18244,2017-12-30 17:55:46.028188
,19.0,2195,500.0,1.0,CryptoCompare,cryptocompare,AMS,15284,2017-12-30 17:55:43.522716
,10.0,1016,250.0,,CryptoCompare,cryptocompare,AMT,243045,2017-12-30 17:56:01.652037
,3.0,445,75.0,,CryptoCompare,cryptocompare,AMY,59304,2017-12-30 17:56:46.614948
8.0,10.0,5556,630.0,12.0,CryptoCompare,cryptocompare,ANAL,37359,2017-12-30 17:56:23.361937
1.0,30.0,1974,835.0,3.0,CryptoCompare,cryptocompare,ANC,27370,2017-12-30 17:56:03.155352
,1.0,121,50.0,1.0,CryptoCompare,cryptocompare,ANCP,196572,2017-12-30 17:55:46.267319
,3.0,166,75.0,,CryptoCompare,cryptocompare,AND,30568,2017-12-30 17:56:12.306100
52.0,592.0,45957,16395.0,43.0,CryptoCompare,cryptocompare,ANT,78152,2017-12-30 17:56:51.809087
,3.0,277,75.0,,CryptoCompare,cryptocompare,ANTC,29758,2017-12-30 17:56:09.970752
,24.0,3420,650.0,2.0,CryptoCompare,cryptocompare,ANTI,20828,2017-12-30 17:55:51.885439
,15.0,2959,400.0,1.0,CryptoCompare,cryptocompare,APC,20722,2017-12-30 17:55:52.919691
,9.0,862,225.0,,CryptoCompare,cryptocompare,APEX,4330,2017-12-30 17:56:30.298560
1.0,108.0,5449,2760.0,2.0,CryptoCompare,cryptocompare,APPC,346812,2017-12-30 17:56:18.919973
,5.0,494,125.0,,CryptoCompare,cryptocompare,APT,60419,2017-12-30 17:56:47.154574
6.0,41.0,3174,1135.0,2.0,CryptoCompare,cryptocompare,APX,74912,2017-12-30 17:56:50.571686
4.0,59.0,2493,1640.0,5.0,CryptoCompare,cryptocompare,AR*,251598,2017-12-30 17:56:02.647728
,7.0,1902,175.0,,CryptoCompare,cryptocompare,ARB,7599,2017-12-30 17:56:51.086304
,9.0,618,225.0,,CryptoCompare,cryptocompare,ARBI,334856,2017-12-30 17:56:15.687979
1.0,42.0,2888,1260.0,8.0,CryptoCompare,cryptocompare,ARC,188615,2017-12-30 17:55:45.713654
,5.0,233,150.0,1.0,CryptoCompare,cryptocompare,ARC*,435659,2017-12-30 17:56:31.567767
,13.0,1837,325.0,,CryptoCompare,cryptocompare,ARCH,4331,2017-12-30 17:56:30.782077
,13.0,843,375.0,2.0,CryptoCompare,cryptocompare,ARCO,34506,2017-12-30 17:56:18.382896
90.0,718.0,61878,21275.0,97.0,CryptoCompare,cryptocompare,ARDR,30173,2017-12-30 17:56:10.925601
,10.0,1339,250.0,,CryptoCompare,cryptocompare,ARENA,201896,2017-12-30 17:55:52.722810
,12.0,1126,300.0,,CryptoCompare,cryptocompare,ARG,4371,2017-12-30 17:56:32.252997
2.0,18.0,1386,495.0,1.0,CryptoCompare,cryptocompare,ARGUS,70352,2017-12-30 17:56:49.600516
,13.0,2241,325.0,,CryptoCompare,cryptocompare,ARI,4332,2017-12-30 17:56:30.486360
,,76,,,CryptoCompare,cryptocompare,ARI*,235221,2017-12-30 17:56:00.741774
163.0,1407.0,122966,41030.0,169.0,CryptoCompare,cryptocompare,ARK,32699,2017-12-30 17:56:14.412036
,9.0,1573,225.0,,CryptoCompare,cryptocompare,ARM,28654,2017-12-30 17:56:07.789167
1.0,63.0,8838,1885.0,12.0,CryptoCompare,cryptocompare,ARN,335127,2017-12-30 17:56:16.546685
,16.0,1374,400.0,,CryptoCompare,cryptocompare,ARNA*,303888,2017-12-30 17:56:11.349236
,1.0,110,25.0,,CryptoCompare,cryptocompare,ARPA,60618,2017-12-30 17:56:46.014599
,21.0,1414,600.0,3.0,CryptoCompare,cryptocompare,ART,311558,2017-12-30 17:56:12.503115
5.0,46.0,6276,1400.0,8.0,CryptoCompare,cryptocompare,ASAFE2,38367,2017-12-30 17:56:25.506094
,6.0,743,150.0,,CryptoCompare,cryptocompare,ASN,5356,2017-12-30 17:56:44.250072
1.0,55.0,5339,1510.0,5.0,CryptoCompare,cryptocompare,AST,337162,2017-12-30 17:56:18.317034
,13.0,1448,325.0,,CryptoCompare,cryptocompare,AST*,38959,2017-12-30 17:56:26.157444
,17.0,1229,600.0,7.0,CryptoCompare,cryptocompare,ASTRO,387875,2017-12-30 17:56:25.693876
83.0,276.0,49638,9730.0,80.0,CryptoCompare,cryptocompare,ATB,175618,2017-12-30 17:55:44.929066
,13.0,2661,400.0,3.0,CryptoCompare,cryptocompare,ATCC,339419,2017-12-30 17:56:17.683563
,22.0,939,575.0,1.0,CryptoCompare,cryptocompare,ATFS,375855,2017-12-30 17:56:25.353238
,6.0,668,200.0,2.0,CryptoCompare,cryptocompare,ATKN,310392,2017-12-30 17:56:12.202678
28.0,220.0,22814,6305.0,21.0,CryptoCompare,cryptocompare,ATL,235213,2017-12-30 17:56:00.810289
,12.0,2551,300.0,,CryptoCompare,cryptocompare,ATM,28023,2017-12-30 17:56:03.119102
1.0,32.0,1946,935.0,5.0,CryptoCompare,cryptocompare,ATMS,61902,2017-12-30 17:56:49.234461
1.0,22.0,2829,635.0,3.0,CryptoCompare,cryptocompare,ATOM,29721,2017-12-30 17:56:10.023228
,59.0,4273,1525.0,2.0,CryptoCompare,cryptocompare,ATOM*,199107,2017-12-30 17:55:49.900844
6.0,15.0,1431,485.0,2.0,CryptoCompare,cryptocompare,ATS,345017,2017-12-30 17:56:18.730839
,7.0,888,175.0,0.0,CryptoCompare,cryptocompare,ATX,33871,2017-12-30 17:56:16.700409
6.0,69.0,6226,2210.0,17.0,CryptoCompare,cryptocompare,AUR,4333,2017-12-30 17:56:32.096156
,7.0,2140,225.0,2.0,CryptoCompare,cryptocompare,AURS,341400,2017-12-30 17:56:18.746074
,5.0,563,125.0,,CryptoCompare,cryptocompare,AUT,206001,2017-12-30 17:55:50.779907
,18.0,1677,450.0,,CryptoCompare,cryptocompare,AUTH,222200,2017-12-30 17:55:59.139612
,14.0,2071,350.0,,CryptoCompare,cryptocompare,AV,38026,2017-12-30 17:56:24.534537
,6.0,756,175.0,1.0,CryptoCompare,cryptocompare,AVA,248300,2017-12-30 17:56:02.262955
31.0,17.0,2006,985.0,10.0,CryptoCompare,cryptocompare,AVE,362627,2017-12-30 17:56:21.107377
95.0,547.0,60080,17000.0,95.0,CryptoCompare,cryptocompare,AVT,138642,2017-12-30 17:55:43.216706
,1.0,1115,25.0,,CryptoCompare,cryptocompare,AXIOM,8693,2017-12-30 17:56:52.042245
,3.0,1418,75.0,,CryptoCompare,cryptocompare,AXR,4334,2017-12-30 17:56:32.081446
2.0,110.0,9959,2845.0,3.0,CryptoCompare,cryptocompare,AXT,372029,2017-12-30 17:56:23.477100
,4.0,688,150.0,2.0,CryptoCompare,cryptocompare,B2B,517795,2017-12-30 17:56:39.516670
43.0,172.0,27811,6030.0,52.0,CryptoCompare,cryptocompare,B3,28333,2017-12-30 17:56:07.603421
,15.0,1549,400.0,1.0,CryptoCompare,cryptocompare,B@,56078,2017-12-30 17:56:46.409635
,11.0,916,300.0,1.0,CryptoCompare,cryptocompare,BAC,20348,2017-12-30 17:55:50.197676
,2.0,186,50.0,,CryptoCompare,cryptocompare,BAC*,329507,2017-12-30 17:56:14.460351
,0.0,450,25.0,1.0,CryptoCompare,cryptocompare,BAN,43247,2017-12-30 17:56:29.902510
2.0,4.0,850,170.0,2.0,CryptoCompare,cryptocompare,BAR,354771,2017-12-30 17:56:19.404286
,,4,,,CryptoCompare,cryptocompare,BAS,586638,2017-12-30 17:56:46.842956
1.0,27.0,2981,710.0,1.0,CryptoCompare,cryptocompare,BASH,33129,2017-12-30 17:56:17.586626
289.0,1291.0,143737,39465.0,172.0,CryptoCompare,cryptocompare,BAT,107672,2017-12-30 17:55:40.824216
39.0,264.0,27435,8365.0,55.0,CryptoCompare,cryptocompare,BAY,5300,2017-12-30 17:56:42.459973
,4.0,3729,125.0,1.0,CryptoCompare,cryptocompare,BBCC,29554,2017-12-30 17:56:10.000696
1.0,68.0,6912,1935.0,9.0,CryptoCompare,cryptocompare,BBR,5343,2017-12-30 17:56:43.734096
,2.0,312,75.0,1.0,CryptoCompare,cryptocompare,BBT,398648,2017-12-30 17:56:26.697137
,97.0,4310,2475.0,2.0,CryptoCompare,cryptocompare,BBT*,198474,2017-12-30 17:55:48.783316
1.0,79.0,6285,2235.0,10.0,CryptoCompare,cryptocompare,BCAP,72955,2017-12-30 17:56:50.612262
251.0,1118.0,88562,34485.0,161.0,CryptoCompare,cryptocompare,BCCOIN,35165,2017-12-30 17:56:19.514545
32.0,116.0,17571,3670.0,18.0,CryptoCompare,cryptocompare,BCD,409492,2017-12-30 17:56:26.548280
,,98,25.0,1.0,CryptoCompare,cryptocompare,BCD*,419930,2017-12-30 17:56:28.583462
2.0,35.0,3388,995.0,4.0,CryptoCompare,cryptocompare,BCF,34854,2017-12-30 17:56:18.710072
13933.0,11636.0,3479142,603505.0,6931.0,CryptoCompare,cryptocompare,BCH,202330,2017-12-30 17:55:50.698601
13930.0,11635.0,3478911,603400.0,6929.0,CryptoCompare,cryptocompare,BCH,202330,2017-12-30 17:32:32.874414
13938,11643,3480142,603805,6934,CryptoCompare,cryptocompare,BCH,202330,2017-12-30 19:50:37.577873
2530.0,2620.0,396869,121575.0,1231.0,CryptoCompare,cryptocompare,BCN,5280,2017-12-30 17:56:40.325911
,2.0,265,150.0,4.0,CryptoCompare,cryptocompare,BCO*,422188,2017-12-30 17:56:28.965980
,,22,,,CryptoCompare,cryptocompare,BCOIN,536905,2017-12-30 17:56:45.368656
1.0,19.0,2862,585.0,4.0,CryptoCompare,cryptocompare,BCPT,374281,2017-12-30 17:56:25.099971
,7.0,599,175.0,,CryptoCompare,cryptocompare,BCR,5345,2017-12-30 17:56:44.604486
8.0,19.0,4139,655.0,4.0,CryptoCompare,cryptocompare,BCX,4335,2017-12-30 17:56:31.797342
,15.0,367,475.0,4.0,CryptoCompare,cryptocompare,BCX*,536213,2017-12-30 17:56:45.266612
1.0,72.0,7140,1935.0,5.0,CryptoCompare,cryptocompare,BCY,20315,2017-12-30 17:55:51.051852
1.0,68.0,3712,1885.0,7.0,CryptoCompare,cryptocompare,BDG,423754,2017-12-30 17:56:28.802115
,5.0,619,150.0,1.0,CryptoCompare,cryptocompare,BDL,374294,2017-12-30 17:56:23.920174
,19.0,199,475.0,,CryptoCompare,cryptocompare,BDR,372637,2017-12-30 17:56:23.049730
3.0,120.0,16102,3330.0,12.0,CryptoCompare,cryptocompare,BELA,21239,2017-12-30 17:55:53.438351
,6.0,506,150.0,,CryptoCompare,cryptocompare,BEN,4336,2017-12-30 17:56:31.100469
,5.0,678,150.0,1.0,CryptoCompare,cryptocompare,BENJI,71884,2017-12-30 17:56:50.330383
1.0,6.0,1411,210.0,2.0,CryptoCompare,cryptocompare,BERN,20817,2017-12-30 17:55:51.643213
,12.0,1760,300.0,,CryptoCompare,cryptocompare,BEST,56246,2017-12-30 17:56:46.003182
,6.0,1769,150.0,,CryptoCompare,cryptocompare,BET,4337,2017-12-30 17:56:31.219372
10.0,52.0,5564,1675.0,11.0,CryptoCompare,cryptocompare,BET*,177831,2017-12-30 17:55:43.692137
7.0,21.0,9711,795.0,8.0,CryptoCompare,cryptocompare,BFX,25238,2017-12-30 17:56:02.476162
,14.0,3478,400.0,2.0,CryptoCompare,cryptocompare,BHC,29559,2017-12-30 17:56:09.929922
,2.0,474,50.0,,CryptoCompare,cryptocompare,BHC*,369029,2017-12-30 17:56:24.003611
,18.0,1056,500.0,2.0,CryptoCompare,cryptocompare,BIC,41587,2017-12-30 17:56:28.047523
,13.0,1131,325.0,0.0,CryptoCompare,cryptocompare,BIGUP,20819,2017-12-30 17:55:52.551715
,18.0,928,475.0,1.0,CryptoCompare,cryptocompare,BIO,484355,2017-12-30 17:56:39.560243
,14.0,684,375.0,1.0,CryptoCompare,cryptocompare,BIOB,50734,2017-12-30 17:56:40.279978
,8.0,1286,200.0,,CryptoCompare,cryptocompare,BIOS,20209,2017-12-30 17:55:49.361841
4.0,32.0,3572,940.0,4.0,CryptoCompare,cryptocompare,BIP,33936,2017-12-30 17:56:18.025432
,15.0,801,400.0,1.0,CryptoCompare,cryptocompare,BIS,322963,2017-12-30 17:56:13.055212
2.0,11.0,1647,320.0,1.0,CryptoCompare,cryptocompare,BIT16,22333,2017-12-30 17:55:59.536736
67.0,184.0,25200,7395.0,85.0,CryptoCompare,cryptocompare,BITB,4338,2017-12-30 17:56:30.961611
,3.0,1979,75.0,,CryptoCompare,cryptocompare,BITCNY,28019,2017-12-30 17:56:03.101612
1.0,28.0,5349,835.0,5.0,CryptoCompare,cryptocompare,BITOK,81445,2017-12-30 17:56:51.553335
1.0,27.0,2904,735.0,2.0,CryptoCompare,cryptocompare,BITS,5368,2017-12-30 17:56:44.715336
1.0,8.0,585,235.0,1.0,CryptoCompare,cryptocompare,BITSD,198251,2017-12-30 17:55:48.134586
,14.0,2044,350.0,,CryptoCompare,cryptocompare,BITUSD,28021,2017-12-30 17:56:03.380814
,11.0,3132,300.0,1.0,CryptoCompare,cryptocompare,BITZ,7626,2017-12-30 17:56:51.397465
5.0,109.0,10147,2900.0,5.0,CryptoCompare,cryptocompare,BKX,241757,2017-12-30 17:56:02.946376
,9.0,743,300.0,3.0,CryptoCompare,cryptocompare,BLAS,253707,2017-12-30 17:56:02.865650
,6.0,716,150.0,,CryptoCompare,cryptocompare,BLAZR,60424,2017-12-30 17:56:47.181157
2.0,48.0,6098,1320.0,4.0,CryptoCompare,cryptocompare,BLC,5362,2017-12-30 17:56:44.299841
3.0,66.0,5812,1880.0,8.0,CryptoCompare,cryptocompare,BLITZ,15879,2017-12-30 17:55:43.567300
9.0,448.0,39336,11940.0,26.0,CryptoCompare,cryptocompare,BLK,4339,2017-12-30 17:56:31.814480
8.0,148.0,11868,4080.0,12.0,CryptoCompare,cryptocompare,BLOCK,5305,2017-12-30 17:56:41.859708
3.0,25.0,1684,730.0,3.0,CryptoCompare,cryptocompare,BLOCKPAY,28204,2017-12-30 17:56:03.276892
1.0,9.0,864,285.0,2.0,CryptoCompare,cryptocompare,BLRY,20336,2017-12-30 17:55:53.401300
8.0,83.0,5689,2330.0,7.0,CryptoCompare,cryptocompare,BLU,4340,2017-12-30 17:56:31.157280
1.0,41.0,3508,1110.0,3.0,CryptoCompare,cryptocompare,BLUE,350048,2017-12-30 17:56:19.536340
6.0,33.0,2836,1185.0,12.0,CryptoCompare,cryptocompare,BLX,241634,2017-12-30 17:56:01.495324
,5.0,531,125.0,,CryptoCompare,cryptocompare,BM,24405,2017-12-30 17:56:02.568886
,30.0,2327,775.0,1.0,CryptoCompare,cryptocompare,BM*,345544,2017-12-30 17:56:18.945529
30.0,116.0,10326,3900.0,28.0,CryptoCompare,cryptocompare,BMC,304184,2017-12-30 17:56:11.177412
,8.0,863,200.0,,CryptoCompare,cryptocompare,BMT,481737,2017-12-30 17:56:39.037325
1.0,2.0,207,85.0,1.0,CryptoCompare,cryptocompare,BMXT,213113,2017-12-30 17:55:52.948420
70.0,557.0,46123,16850.0,89.0,CryptoCompare,cryptocompare,BNB,204788,2017-12-30 17:55:50.869473
9.0,26.0,4377,965.0,9.0,CryptoCompare,cryptocompare,BNB*,60622,2017-12-30 17:56:47.154817
,11.0,1863,275.0,,CryptoCompare,cryptocompare,BNC,215570,2017-12-30 17:55:53.258533
8.0,134.0,6720,3655.0,9.0,CryptoCompare,cryptocompare,BNK,384605,2017-12-30 17:56:25.621769
36.0,447.0,44036,12210.0,27.0,CryptoCompare,cryptocompare,BNT,22327,2017-12-30 17:55:59.040571
9.0,9.0,950,540.0,9.0,CryptoCompare,cryptocompare,BNTY,543363,2017-12-30 17:56:46.503927
,7.0,1099,200.0,1.0,CryptoCompare,cryptocompare,BNX,56682,2017-12-30 17:56:46.577961
,11.0,865,325.0,2.0,CryptoCompare,cryptocompare,BOAT,57742,2017-12-30 17:56:46.970402
,8.0,1006,225.0,1.0,CryptoCompare,cryptocompare,BOB,7635,2017-12-30 17:56:50.824656
,1.0,196,25.0,,CryptoCompare,cryptocompare,BOG,188677,2017-12-30 17:55:47.316809
6.0,69.0,6419,2060.0,11.0,CryptoCompare,cryptocompare,BOLI,21357,2017-12-30 17:55:53.029063
,4.0,448,125.0,1.0,CryptoCompare,cryptocompare,BOMB,42110,2017-12-30 17:56:30.194845
,4.0,959,125.0,1.0,CryptoCompare,cryptocompare,BON,21869,2017-12-30 17:55:53.365931
0.0,15.0,2147,475.0,4.0,CryptoCompare,cryptocompare,BON*,346775,2017-12-30 17:56:18.427565
,2.0,794,50.0,0.0,CryptoCompare,cryptocompare,BOOM,5378,2017-12-30 17:56:44.869193
10.0,92.0,15894,2850.0,18.0,CryptoCompare,cryptocompare,BOS,116384,2017-12-30 17:55:42.692200
,11.0,1114,275.0,0.0,CryptoCompare,cryptocompare,BOSON,33869,2017-12-30 17:56:17.474758
,12.0,1150,300.0,,CryptoCompare,cryptocompare,BOSS,41125,2017-12-30 17:56:26.482766
,8.0,1952,200.0,,CryptoCompare,cryptocompare,BOST,4342,2017-12-30 17:56:31.334821
,1.0,166,25.0,,CryptoCompare,cryptocompare,BOTS,28125,2017-12-30 17:56:06.018922
,14.0,742,350.0,,CryptoCompare,cryptocompare,BOU,241804,2017-12-30 17:56:01.572200
,,57,,,CryptoCompare,cryptocompare,BOXY,465681,2017-12-30 17:56:39.123415
,1.0,325,25.0,,CryptoCompare,cryptocompare,BPL,384729,2017-12-30 17:56:25.556057
,14.0,1311,400.0,2.0,CryptoCompare,cryptocompare,BQ,340125,2017-12-30 17:56:18.518558
,5.0,1207,125.0,,CryptoCompare,cryptocompare,BQC,4343,2017-12-30 17:56:31.288335
49.0,448.0,47178,13090.0,56.0,CryptoCompare,cryptocompare,BQX,141464,2017-12-30 17:55:42.815375
,7.0,775,200.0,1.0,CryptoCompare,cryptocompare,BRAIN,30373,2017-12-30 17:56:11.840128
,5.0,277,150.0,1.0,CryptoCompare,cryptocompare,BRAT,357734,2017-12-30 17:56:19.761849
2.0,42.0,3493,1370.0,12.0,CryptoCompare,cryptocompare,BRD,543502,2017-12-30 17:56:45.745068
,5.0,1626,125.0,,CryptoCompare,cryptocompare,BRDD,33875,2017-12-30 17:56:18.396322
6.0,44.0,4597,1285.0,5.0,CryptoCompare,cryptocompare,BRIT,182416,2017-12-30 17:55:45.490369
4.0,183.0,7616,4815.0,8.0,CryptoCompare,cryptocompare,BRK,20892,2017-12-30 17:55:53.102234
,61.0,3800,1550.0,1.0,CryptoCompare,cryptocompare,BRO,234982,2017-12-30 17:56:01.209887
,2.0,425,50.0,,CryptoCompare,cryptocompare,BRONZ,28888,2017-12-30 17:56:08.243536
,8.0,1063,225.0,1.0,CryptoCompare,cryptocompare,BRX,299415,2017-12-30 17:56:10.180086
,9.0,852,225.0,,CryptoCompare,cryptocompare,BS,30175,2017-12-30 17:56:10.800044
,6.0,779,175.0,1.0,CryptoCompare,cryptocompare,BSC,7482,2017-12-30 17:56:50.428971
1.0,74.0,13279,2185.0,13.0,CryptoCompare,cryptocompare,BSD,22329,2017-12-30 17:55:58.776523
,7.0,754,225.0,2.0,CryptoCompare,cryptocompare,BST,15272,2017-12-30 17:55:42.747320
,5.0,1000,125.0,,CryptoCompare,cryptocompare,BSTAR,35684,2017-12-30 17:56:19.832543
,6.0,1003,175.0,1.0,CryptoCompare,cryptocompare,BSTK,57466,2017-12-30 17:56:46.680947
,15.0,1313,375.0,,CryptoCompare,cryptocompare,BSTY,6100,2017-12-30 17:56:47.100273
,2.0,80,50.0,,CryptoCompare,cryptocompare,BT,249784,2017-12-30 17:56:02.577437
13.0,52.0,13242,2005.0,23.0,CryptoCompare,cryptocompare,BT1,364317,2017-12-30 17:56:21.774660
