Points,is_closed,likes,link,name,socialsource,source,symbol,symbol_id,talking_about,timestamp_api_call
0,,,,,Facebook,cryptocompare,ALEX,45607,,2017-12-30 17:56:37.641708
0,,,,,Facebook,cryptocompare,ALF,4325,,2017-12-30 17:56:30.199674
0,,,,,Facebook,cryptocompare,ALIS,331603,,2017-12-30 17:56:15.156680
0,,,,,Facebook,cryptocompare,ALN,4328,,2017-12-30 17:56:30.936778
0,,,,,Facebook,cryptocompare,ALQO,402782,,2017-12-30 17:56:26.583028
0,,,,,Facebook,cryptocompare,ALTCOM,369110,,2017-12-30 17:56:22.283125
205,False,205.0,https://www.facebook.com/altocar.ru/,AltoCar,Facebook,cryptocompare,ALTOCAR,240439,0.0,2017-12-30 17:56:00.934171
0,,,,,Facebook,cryptocompare,AM,5330,,2017-12-30 17:56:44.240871
4368,False,3538.0,https://www.facebook.com/ambrosusAMB/,Ambrosus,Facebook,cryptocompare,AMB,238733,83.0,2017-12-30 17:56:01.850132
0,,,,,Facebook,cryptocompare,AMBER,5332,,2017-12-30 17:56:45.838603
0,,,,,Facebook,cryptocompare,AMC,4327,,2017-12-30 17:56:30.666489
0,,,,,Facebook,cryptocompare,AMIS,57676,,2017-12-30 17:56:46.896295
0,,,,,Facebook,cryptocompare,AMMO,182463,,2017-12-30 17:55:45.725575
5041,False,4711.0,https://www.facebook.com/synereo/,Synereo,Facebook,cryptocompare,AMP,18244,33.0,2017-12-30 17:55:46.070685
0,,,,,Facebook,cryptocompare,AMS,15284,,2017-12-30 17:55:43.622130
0,,,,,Facebook,cryptocompare,AMT,243045,,2017-12-30 17:56:01.788409
0,,,,,Facebook,cryptocompare,AMY,59304,,2017-12-30 17:56:46.648386
0,,,,,Facebook,cryptocompare,ANAL,37359,,2017-12-30 17:56:23.462417
973,False,953.0,https://www.facebook.com/antshares/,Antshares,Facebook,cryptocompare,ANC,27370,2.0,2017-12-30 17:56:03.241877
0,,,,,Facebook,cryptocompare,ANCP,196572,,2017-12-30 17:55:46.327671
0,,,,,Facebook,cryptocompare,AND,30568,,2017-12-30 17:56:12.350019
0,,,,,Facebook,cryptocompare,ANT,78152,,2017-12-30 17:56:51.870345
0,,,,,Facebook,cryptocompare,ANTC,29758,,2017-12-30 17:56:10.048987
0,,,,,Facebook,cryptocompare,ANTI,20828,,2017-12-30 17:55:52.175723
0,,,,,Facebook,cryptocompare,APC,20722,,2017-12-30 17:55:52.953338
0,,,,,Facebook,cryptocompare,APEX,4330,,2017-12-30 17:56:30.453867
10366,False,9656.0,https://www.facebook.com/AppCoinsOfficial/,AppCoins,Facebook,cryptocompare,APPC,346812,71.0,2017-12-30 17:56:19.008407
0,,,,,Facebook,cryptocompare,APT,60419,,2017-12-30 17:56:47.215804
0,,,,,Facebook,cryptocompare,APX,74912,,2017-12-30 17:56:50.691096
213,False,143.0,https://www.facebook.com/ArchainTeam/,Archain,Facebook,cryptocompare,AR*,251598,7.0,2017-12-30 17:56:02.723355
0,,,,,Facebook,cryptocompare,ARB,7599,,2017-12-30 17:56:51.421257
1901,False,1891.0,https://www.facebook.com/arbi.expert/,Arbi,Facebook,cryptocompare,ARBI,334856,1.0,2017-12-30 17:56:15.786655
474,False,234.0,https://www.facebook.com/arcticcoin.official/,Arctic Coin,Facebook,cryptocompare,ARC,188615,24.0,2017-12-30 17:55:45.750837
24789,False,19809.0,https://www.facebook.com/ArcadeCityHall/,Arcade City,Facebook,cryptocompare,ARC*,435659,498.0,2017-12-30 17:56:31.609641
478,False,368.0,https://www.facebook.com/archcoin/,ARCHcoin,Facebook,cryptocompare,ARCH,4331,11.0,2017-12-30 17:56:30.981845
0,,,,,Facebook,cryptocompare,ARCO,34506,,2017-12-30 17:56:18.430107
0,,,,,Facebook,cryptocompare,ARDR,30173,,2017-12-30 17:56:11.024899
0,,,,,Facebook,cryptocompare,ARENA,201896,,2017-12-30 17:55:52.792706
0,,,,,Facebook,cryptocompare,ARG,4371,,2017-12-30 17:56:32.277228
0,,,,,Facebook,cryptocompare,ARGUS,70352,,2017-12-30 17:56:49.659226
0,,,,,Facebook,cryptocompare,ARI,4332,,2017-12-30 17:56:30.719369
151,False,151.0,https://www.facebook.com/BECKSANGCORP/,Becksang,Facebook,cryptocompare,ARI*,235221,0.0,2017-12-30 17:56:00.801753
11863,False,6783.0,https://www.facebook.com/ArkEcosystem/,ARK.io,Facebook,cryptocompare,ARK,32699,508.0,2017-12-30 17:56:14.443401
0,,,,,Facebook,cryptocompare,ARM,28654,,2017-12-30 17:56:07.892932
2673,False,2193.0,https://www.facebook.com/aeronpublic/,Aeron,Facebook,cryptocompare,ARN,335127,48.0,2017-12-30 17:56:16.713331
4396,False,3006.0,https://www.facebook.com/arnagenomics/,ARNA Genomics,Facebook,cryptocompare,ARNA*,303888,139.0,2017-12-30 17:56:11.543063
0,,,,,Facebook,cryptocompare,ARPA,60618,,2017-12-30 17:56:46.303656
1000,False,650.0,https://www.facebook.com/maecenasart/,Maecenas,Facebook,cryptocompare,ART,311558,35.0,2017-12-30 17:56:12.546065
0,,,,,Facebook,cryptocompare,ASAFE2,38367,,2017-12-30 17:56:25.539357
0,,,,,Facebook,cryptocompare,ASN,5356,,2017-12-30 17:56:44.325966
2501,False,2071.0,https://www.facebook.com/airswapio/,AirSwap,Facebook,cryptocompare,AST,337162,43.0,2017-12-30 17:56:18.373102
0,,,,,Facebook,cryptocompare,AST*,38959,,2017-12-30 17:56:26.205428
656,False,546.0,https://www.facebook.com/astronautcap/,Astronaut Capital,Facebook,cryptocompare,ASTRO,387875,11.0,2017-12-30 17:56:25.751962
20480,False,19290.0,https://www.facebook.com/atbcoincom/,ATB Coin,Facebook,cryptocompare,ATB,175618,119.0,2017-12-30 17:55:45.005763
0,,,,,Facebook,cryptocompare,ATCC,339419,,2017-12-30 17:56:17.760614
