Id,Comments,Followers,PageViews,Points,Posts,socialsource,source,symbol,symbol_id,timestamp_api_call
155,,8.0,1300,200.0,,CryptoCompare,cryptocompare,ELC,4439,2017-12-28 08:23:18.588244
156,3.0,49.0,7451,1355.0,4.0,CryptoCompare,cryptocompare,ELE,30550,2017-12-28 08:23:19.599480
157,3.0,49.0,7440,1355.0,4.0,CryptoCompare,cryptocompare,ELE,30550,2017-12-28 01:43:04.909453
158,1.0,7.0,663,210.0,1.0,CryptoCompare,cryptocompare,ELTCOIN,438867,2017-12-28 08:23:20.865999
159,1.0,7.0,660,210.0,1.0,CryptoCompare,cryptocompare,ELTCOIN,438867,2017-12-28 01:43:05.910237
160,258.0,651.0,114415,26330.0,299.0,CryptoCompare,cryptocompare,EMC2,4440,2017-12-28 08:23:21.148433
161,258.0,650.0,114122,26305.0,299.0,CryptoCompare,cryptocompare,EMC2,4440,2017-12-28 01:43:06.846237
162,,4.0,362,100.0,,CryptoCompare,cryptocompare,EMPC,63312,2017-12-28 01:43:07.292988
163,3.0,182.0,8397,4705.0,5.0,CryptoCompare,cryptocompare,EMT,247322,2017-12-28 01:43:08.333011
164,3.0,184.0,8424,4755.0,5.0,CryptoCompare,cryptocompare,EMT,247322,2017-12-28 08:23:23.711070
165,,1.0,212,25.0,,CryptoCompare,cryptocompare,ENE,28174,2017-12-28 01:43:08.780765
166,,1.0,213,25.0,,CryptoCompare,cryptocompare,ENE,28174,2017-12-28 08:23:24.551888
167,4.0,31.0,2170,915.0,4.0,CryptoCompare,cryptocompare,ENT,34609,2017-12-28 01:43:09.231063
168,4.0,31.0,2183,915.0,4.0,CryptoCompare,cryptocompare,ENT,34609,2017-12-28 08:23:25.576821
169,,6.0,929,150.0,,CryptoCompare,cryptocompare,ENTER,24307,2017-12-28 08:23:26.563534
170,,6.0,925,150.0,,CryptoCompare,cryptocompare,ENTER,24307,2017-12-28 01:43:10.224052
171,689.0,2859.0,363655,87865.0,380.0,CryptoCompare,cryptocompare,EOS,166503,2017-12-28 01:43:10.642241
172,691.0,2867.0,364290,88110.0,381.0,CryptoCompare,cryptocompare,EOS,166503,2017-12-28 08:23:27.036809
173,,7.0,842,225.0,2.0,CryptoCompare,cryptocompare,EQM,6093,2017-12-28 08:23:27.599093
174,,7.0,839,225.0,2.0,CryptoCompare,cryptocompare,EQM,6093,2017-12-28 01:43:11.579571
175,18.0,44.0,4653,1730.0,18.0,CryptoCompare,cryptocompare,EQT,105263,2017-12-28 00:01:11.038807
176,18.0,44.0,4650,1730.0,18.0,CryptoCompare,cryptocompare,EQT,105263,2017-12-27 23:18:16.985070
