Id,Points,account_creation,favourites,followers,following,link,lists,name,socialsource,source,statuses,symbol,symbol_id,timestamp_api_call
159,333,1408526471.0,15.0,278.0,24.0,https://twitter.com/HalcyonDev,11.0,Halcyon Dev,Twitter,cryptocompare,63.0,HAL,4533,2017-12-28 08:24:39.864107
160,4,1496113438.0,5.0,4.0,1.0,https://twitter.com/HamsterMint,0.0,Mr Hamster,Twitter,cryptocompare,4.0,HAMS,112363,2017-12-28 08:24:40.911176
161,0,,,,,,,,Twitter,cryptocompare,,HAZE,43937,2017-12-28 08:24:41.854572
162,3826,1497432558.0,252.0,3651.0,793.0,https://twitter.com/hubiinetwork,35.0,hubii network,Twitter,cryptocompare,480.0,HBT,247391,2017-12-28 08:24:43.185326
163,0,,,,,,,,Twitter,cryptocompare,,HCC,30371,2017-12-28 08:24:44.184280
164,55,1434439849.0,0.0,45.0,1.0,https://twitter.com/HedgeCoinDev,2.0,HedgeCoinDev,Twitter,cryptocompare,10.0,HEDG,7653,2017-12-28 08:24:45.027213
165,478,1436018893.0,5.0,438.0,477.0,https://twitter.com/heelcoin,8.0,Heel Coin,Twitter,cryptocompare,999.0,HEEL,38035,2017-12-28 08:24:45.921615
166,1265,1499447338.0,38.0,1185.0,228.0,https://twitter.com/hire_match,16.0,HireMatch,Twitter,cryptocompare,128.0,HIRE,198458,2017-12-28 08:24:47.101320
167,2776,1446537513.0,484.0,2441.0,4730.0,https://twitter.com/CampEther,67.0,ether-camp,Twitter,cryptocompare,672.0,HKG,29733,2017-12-28 08:24:48.561509
168,0,,,,,,,,Twitter,cryptocompare,,HKN,517775,2017-12-28 08:24:49.452175
169,0,,,,,,,,Twitter,cryptocompare,,HNC,8846,2017-12-28 08:24:50.151879
170,439,1455402000.0,123.0,379.0,8.0,https://twitter.com/hodlcoin,12.0,HOdlcoin,Twitter,cryptocompare,46.0,HODL,18670,2017-12-28 08:24:51.214781
171,1129,1491602206.0,1134.0,1064.0,1136.0,https://twitter.com/happycoin5,13.0,happycoin,Twitter,cryptocompare,217.0,HPC,62659,2017-12-28 08:24:52.276679
172,438,1442635938.0,5.0,418.0,576.0,https://twitter.com/HorsePowerCoin,4.0,HorsePowerCoin,Twitter,cryptocompare,32.0,HSP,35687,2017-12-28 08:24:53.152898
173,0,,,,,,,,Twitter,cryptocompare,,HST,374246,2017-12-28 08:24:55.570733
174,1196,1420654566.0,365.0,1010.0,2483.0,https://twitter.com/ChronoKings,37.0,cashpoin,Twitter,cryptocompare,1369.0,HUC,4535,2017-12-28 08:24:55.860614
175,3958,1494509691.0,40.0,3673.0,252.0,https://twitter.com/hiveproject_net,57.0,hiveproject_net,Twitter,cryptocompare,323.0,HVN,179329,2017-12-28 08:24:56.919506
176,2862,1380142206.0,11329.0,2253.0,781.0,https://twitter.com/nigeldollentas,121.0,Nigel Dollentas,Twitter,cryptocompare,4684.0,HYP,4537,2017-12-28 08:24:57.219169
177,19192,1401189070.0,13494.0,17636.0,10455.0,https://twitter.com/HyperCrypto,310.0,HYPER Crypto,Twitter,cryptocompare,6252.0,HYPER,5371,2017-12-28 08:24:58.247444
178,2393,1400193589.0,73.0,2128.0,2053.0,https://twitter.com/Horizon_HZ,53.0,Bitcoin Investments,Twitter,cryptocompare,613.0,HZ,5312,2017-12-28 08:24:59.439317
179,0,,,,,,,,Twitter,cryptocompare,,I0C,16123,2017-12-28 08:25:00.472672
180,0,,,,,,,,Twitter,cryptocompare,,IBANK,23745,2017-12-28 08:25:01.500079
181,1496,1427145440.0,54.0,1341.0,1260.0,https://twitter.com/iCashOfficial,31.0,iCash,Twitter,cryptocompare,591.0,ICASH,5401,2017-12-28 08:25:02.539090
182,1029,1402945538.0,49.0,964.0,1818.0,https://twitter.com/Icebergcoin,13.0,Icebergcoin,Twitter,cryptocompare,130.0,ICB,4538,2017-12-28 08:25:02.839041
183,3972,1407969342.0,268.0,3877.0,101.0,https://twitter.com/icobox_io,19.0,ICObox,Twitter,cryptocompare,271.0,ICOS,207775,2017-12-28 08:25:03.563991
184,0,,,,,,,,Twitter,cryptocompare,,ICX,324068,2017-12-28 08:25:04.044160
185,0,,,,,,,,Twitter,cryptocompare,,IEC,68088,2017-12-28 08:25:04.905408
186,688,1393555696.0,2.0,608.0,1677.0,https://twitter.com/Infinitecoin_US,16.0,OfficialInfinitecoin,Twitter,cryptocompare,138.0,IFC,4539,2017-12-28 08:25:05.230510
187,0,,,,,,,,Twitter,cryptocompare,,IGNIS,231674,2017-12-28 08:25:06.193830
188,739,1498468098.0,1.0,709.0,18.0,https://twitter.com/IMMLA_io,6.0,IMMLA,Twitter,cryptocompare,117.0,IML,184187,2017-12-28 08:25:07.112168
