Id,closed_issues,closed_pull_issues,closed_total_issues,created_at,fork,forks,language,last_push,last_update,open_issues,open_pull_issues,open_total_issues,parent,size,socialsource,source,stars,subscribers,symbol,symbol_id,timestamp_api_call,url
29,0.0,92.0,92.0,1399967414.0,False,521.0,Java,1514391801.0,1514413578.0,0.0,0.0,80.0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",45235.0,CodeRepository,cryptocompare,953.0,184.0,ETH,7605,2017-12-27 19:40:49.506452,https://github.com/ethereum/ethereumj
30,225.0,275.0,500.0,1399967414.0,False,520.0,Java,1514363912.0,1514372654.0,53.0,28.0,80.0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",45231.0,CodeRepository,cryptocompare,950.0,184.0,ETH,7605,2017-12-27 15:53:42.985563,https://github.com/ethereum/ethereumj
31,225.0,275.0,500.0,1387852805.0,false,554.0,Python,1513936034.0,1514429859.0,53.0,30.0,83,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",5484,CodeRepository,cryptocompare,1848.0,269.0,ETH,7605,2017-12-27 23:04:28.299244,https://github.com/ethereum/pyethereum
32,355.0,452.0,807.0,1399967414.0,false,521.0,Java,1514391801.0,1514428285.0,52.0,54.0,80,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",45235,CodeRepository,cryptocompare,955.0,184.0,ETH,7605,2017-12-27 23:04:28.299244,https://github.com/ethereum/ethereumj
33,0.0,20.0,20.0,1438809479.0,true,15.0,Go,1508255664.0,1513125480.0,7.0,2.0,9,"{u'Url': u'https://github.com/ethereum/go-ethereum', u'Name': u'go-ethereum', u'InternalId': 7605, u'InternalData': {u'Name': u'Ethereum', u'Url': u'/coins/eth/', u'Symbol': u'ETH', u'Id': 7605, u'Type': u'Webpagecoinp', u'ImageUrl': u'/media/20646/eth_logo.png'}}",160162,CodeRepository,cryptocompare,30.0,16.0,EXP,12194,2017-12-28 00:02:44.808543,https://github.com/expanse-org/go-expanse
34,0.0,0.0,0.0,1495804660.0,false,0.0,C++,1495804686.0,1495804690.0,0.0,0.0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",1912,CodeRepository,cryptocompare,0.0,0.0,F16,108099,2017-12-28 00:02:36.400956,https://github.com/f16coin/air
35,0.0,5.0,5.0,1410387286.0,false,39.0,Go,1481737622.0,1509676267.0,0.0,2.0,2,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",7155,CodeRepository,cryptocompare,179.0,79.0,FCT,13280,2017-12-28 00:03:06.731767,https://github.com/FactomProject/FactomCode
36,0.0,0.0,0.0,1440097152.0,false,12.0,C++,1440098607.0,1506976523.0,0.0,0.0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",1534,CodeRepository,cryptocompare,5.0,4.0,GCR,12217,2017-12-28 00:02:46.109604,https://github.com/globalcurrencyreserve/gcr
37,6.0,0.0,6.0,1437145836.0,true,4.0,C++,1500888748.0,1510671339.0,1.0,0.0,1,"{u'Url': u'https://github.com/bitcoin/bitcoin', u'Name': u'bitcoin', u'InternalId': 1182, u'InternalData': {u'Name': u'Bitcoin', u'Url': u'/coins/btc/', u'Symbol': u'BTC', u'Id': 1182, u'Type': u'Webpagecoinp', u'ImageUrl': u'/media/19633/btc.png'}}",67367,CodeRepository,cryptocompare,6.0,10.0,GRS,13070,2017-12-28 00:02:56.853484,https://github.com/Groestlcoin/groestlcoin
38,0.0,0.0,0.0,1495906021.0,false,0.0,C++,1495906723.0,1495906044.0,0.0,0.0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",5953,CodeRepository,cryptocompare,0.0,0.0,HAMS,112363,2017-12-28 00:02:37.633141,https://github.com/Hamstercoindev/hamstercoin
