Id,Points,is_closed,likes,link,name,socialsource,source,symbol,symbol_id,talking_about,timestamp_api_call
114,29,False,29.0,https://www.facebook.com/Famecoin-1118072174937890/,Famecoin,Facebook,cryptocompare,FAME,33268,0.0,2017-12-28 01:43:29.280574
115,0,,,,,Facebook,cryptocompare,FAZZ,60409,,2017-12-28 01:43:29.696995
116,0,,,,,Facebook,cryptocompare,FCS,6101,,2017-12-28 01:43:30.636637
117,5723,False,4773.0,https://www.facebook.com/FactomProject/,Factom,Facebook,cryptocompare,FCT,13280,95.0,2017-12-27 21:23:25.445536
118,0,,,,,Facebook,cryptocompare,FFC,4447,,2017-12-28 01:43:32.364671
119,0,,,,,Facebook,cryptocompare,FIND,48807,,2017-12-28 01:43:33.357859
120,0,,,,,Facebook,cryptocompare,FIRST,34223,,2017-12-28 01:43:34.435683
121,0,,,,,Facebook,cryptocompare,FIST,33526,,2017-12-28 01:43:35.292140
122,0,,,,,Facebook,cryptocompare,FIT,29133,,2017-12-28 01:43:35.917815
123,0,,,,,Facebook,cryptocompare,FJC,29935,,2017-12-28 01:43:36.944984
124,150,False,60.0,https://www.facebook.com/FlashCoin-1800026016723751/,FlashCoin,Facebook,cryptocompare,FLASH,326222,9.0,2017-12-28 01:43:37.807073
125,1336,False,506.0,https://www.facebook.com/theflik.io/,FLiK,Facebook,cryptocompare,FLIK,329562,83.0,2017-12-28 01:43:38.212641
126,0,,,,,Facebook,cryptocompare,FRAZ,247259,,2017-12-28 01:43:38.668793
127,0,,,,,Facebook,cryptocompare,FRC,4521,,2017-12-28 01:43:39.282021
128,0,,,,,Facebook,cryptocompare,FRK,4522,,2017-12-28 01:43:39.792906
129,0,,,,,Facebook,cryptocompare,FRST,45258,,2017-12-28 01:43:40.868122
130,0,,,,,Facebook,cryptocompare,FRWC,24866,,2017-12-28 01:43:41.335057
131,0,,,,,Facebook,cryptocompare,FTC,4524,,2017-12-28 01:43:42.361484
132,0,,,,,Facebook,cryptocompare,FTP,28131,,2017-12-28 01:43:42.743798
133,0,,,,,Facebook,cryptocompare,FUN,178978,,2017-12-28 01:43:43.559285
134,0,,,,,Facebook,cryptocompare,FUZZ,21708,,2017-12-28 01:43:44.482472
135,0,,,,,Facebook,cryptocompare,FX,28336,,2017-12-28 01:43:44.971260
136,0,,,,,Facebook,cryptocompare,FYN,180820,,2017-12-28 01:43:45.784080
137,0,,,,,Facebook,cryptocompare,FYP,464920,,2017-12-28 01:43:46.222222
138,0,,,,,Facebook,cryptocompare,GAIA,5383,,2017-12-28 01:43:46.748815
139,0,,,,,Facebook,cryptocompare,GAKH,38277,,2017-12-28 01:43:47.146573
140,0,,,,,Facebook,cryptocompare,GAM,6102,,2017-12-28 01:43:47.969881
141,0,,,,,Facebook,cryptocompare,GBIT,42103,,2017-12-28 01:43:48.926146
142,599,False,599.0,https://www.facebook.com/gbrcoinofficial/,GBR COIN,Facebook,cryptocompare,GBRC,29458,0.0,2017-12-28 01:43:49.953872
143,0,,,,,Facebook,cryptocompare,GBT,20214,,2017-12-28 01:43:50.776588
144,911,False,861.0,https://www.facebook.com/GCRWorldwide/,Global Currency Reserve WorldWide,Facebook,cryptocompare,GCR,12217,5.0,2017-12-27 21:23:06.392206
145,0,,,,,Facebook,cryptocompare,GDC,4526,,2017-12-28 01:43:51.997813
146,0,,,,,Facebook,cryptocompare,GEO,3647,,2017-12-28 01:43:52.388752
147,0,,,,,Facebook,cryptocompare,GER,531089,,2017-12-28 01:43:53.366769
148,43233,False,43003.0,https://www.facebook.com/gilgames.platform/,gilgam.es,Facebook,cryptocompare,GGS,180716,23.0,2017-12-28 01:43:53.961281
149,15017,False,13557.0,https://www.facebook.com/thegimliproject/,The Gimli Project,Facebook,cryptocompare,GIM,243079,146.0,2017-12-28 01:43:54.783393
150,0,,,,,Facebook,cryptocompare,GIVE,3641,,2017-12-28 01:43:55.239641
151,0,,,,,Facebook,cryptocompare,GIZ,21378,,2017-12-28 01:43:56.030721
152,0,,,,,Facebook,cryptocompare,GLC,4527,,2017-12-28 01:43:56.619583
153,780,False,720.0,https://www.facebook.com/gldtalk,GLDTalk,Facebook,cryptocompare,GLD,4528,6.0,2017-12-28 01:43:57.173781
154,0,,,,,Facebook,cryptocompare,GLOBE,6393,,2017-12-28 01:43:57.837684
155,0,,,,,Facebook,cryptocompare,GLX,4529,,2017-12-28 01:43:58.278540
156,0,,,,,Facebook,cryptocompare,GLYPH,4530,,2017-12-28 01:43:59.122940
157,0,,,,,Facebook,cryptocompare,GMC,5388,,2017-12-28 01:43:59.511192
158,3342,False,2802.0,https://www.facebook.com/Gnosis.pm/,Gnosis,Facebook,cryptocompare,GNO,66193,54.0,2017-12-28 01:44:00.152204
159,9738,False,7138.0,https://www.facebook.com/golemproject/,Golem Project,Facebook,cryptocompare,GNT,33022,260.0,2017-12-28 01:44:00.693675
160,0,,,,,Facebook,cryptocompare,GOOD,253766,,2017-12-28 01:44:01.139395
161,0,,,,,Facebook,cryptocompare,GOT,63304,,2017-12-28 01:44:01.619146
162,0,,,,,Facebook,cryptocompare,GOTX,21875,,2017-12-28 01:44:02.548667
163,0,,,,,Facebook,cryptocompare,GP,7625,,2017-12-28 01:44:03.107813
164,0,,,,,Facebook,cryptocompare,GPL,28330,,2017-12-28 01:44:03.549396
165,0,,,,,Facebook,cryptocompare,GPU,20650,,2017-12-28 01:44:04.120981
166,0,,,,,Facebook,cryptocompare,GRAM,8717,,2017-12-28 01:44:04.635729
167,799,False,169.0,https://www.facebook.com/graftnetwork/,Graft,Facebook,cryptocompare,GRF,326286,63.0,2017-12-28 01:44:05.294217
168,0,,,,,Facebook,cryptocompare,GRM,7592,,2017-12-28 01:44:05.677131
169,0,,,,,Facebook,cryptocompare,GROW,20600,,2017-12-28 01:44:06.755179
170,0,,,,,Facebook,cryptocompare,GRS,13070,,2017-12-27 21:23:17.401297
171,1355,False,1165.0,https://www.facebook.com/MannaCurrency/,Grantcoin: Currency with a Conscience,Facebook,cryptocompare,GRT,20438,19.0,2017-12-28 01:44:07.960499
172,0,,,,,Facebook,cryptocompare,GRWI,207931,,2017-12-28 01:44:08.546111
173,0,,,,,Facebook,cryptocompare,GSX,5397,,2017-12-28 01:44:09.057558
174,0,,,,,Facebook,cryptocompare,GUE,4532,,2017-12-28 01:44:09.976622
175,98,False,88.0,https://www.facebook.com/geofounders/,GeoFounders,Facebook,cryptocompare,GUNS,185625,1.0,2017-12-28 01:44:10.412616
176,1843,False,1543.0,https://www.facebook.com/matchpoolhq/,Matchpool,Facebook,cryptocompare,GUP,67096,30.0,2017-12-28 01:44:10.953683
177,700,False,460.0,https://www.facebook.com/GxGenevieveco/,Genevieve Co. GxCoin,Facebook,cryptocompare,GXC,247350,24.0,2017-12-28 01:44:12.214609
178,17547,False,6587.0,https://www.facebook.com/hackspacecapital/,Hackspace Capital,Facebook,cryptocompare,HAC,321347,1096.0,2017-12-28 01:44:12.635095
179,0,,,,,Facebook,cryptocompare,HAL,4533,,2017-12-28 01:44:13.105121
180,0,,,,,Facebook,cryptocompare,HAMS,112363,,2017-12-27 21:22:56.099550
181,0,,,,,Facebook,cryptocompare,HAZE,43937,,2017-12-28 01:44:14.300213
182,0,,,,,Facebook,cryptocompare,HBT,247391,,2017-12-28 01:44:15.375292
183,0,,,,,Facebook,cryptocompare,HCC,30371,,2017-12-28 01:44:15.891955
184,0,,,,,Facebook,cryptocompare,HEDG,7653,,2017-12-28 01:44:16.330120
185,0,,,,,Facebook,cryptocompare,HEEL,38035,,2017-12-28 01:44:17.190988
186,9566,False,5916.0,https://www.facebook.com/hirematchico/,HireMatch.io,Facebook,cryptocompare,HIRE,198458,365.0,2017-12-28 01:44:17.810618
187,589,False,339.0,https://www.facebook.com/hack.ether.camp/,ether.camp,Facebook,cryptocompare,HKG,29733,25.0,2017-12-28 01:44:18.933362
188,0,,,,,Facebook,cryptocompare,HKN,517775,,2017-12-28 01:44:19.831984
189,0,,,,,Facebook,cryptocompare,HNC,8846,,2017-12-28 01:44:20.566606
190,0,,,,,Facebook,cryptocompare,HODL,18670,,2017-12-28 01:44:21.579363
191,5594,False,1284.0,https://www.facebook.com/Happycoinorg/,Happy Coin Blockchain,Facebook,cryptocompare,HPC,62659,431.0,2017-12-28 01:44:21.971099
192,0,,,,,Facebook,cryptocompare,HSP,35687,,2017-12-28 01:44:22.804492
193,0,,,,,Facebook,cryptocompare,HST,374246,,2017-12-28 01:44:23.812990
194,0,,,,,Facebook,cryptocompare,HUC,4535,,2017-12-28 01:44:24.826199
195,2363,False,1323.0,https://www.facebook.com/HiveProject.net/,Hiveprojectnet,Facebook,cryptocompare,HVN,179329,104.0,2017-12-28 01:44:25.368399
196,0,,,,,Facebook,cryptocompare,HYP,4537,,2017-12-28 01:44:26.357039
197,0,,,,,Facebook,cryptocompare,HYPER,5371,,2017-12-28 01:44:27.177548
198,0,,,,,Facebook,cryptocompare,HZ,5312,,2017-12-28 01:44:27.905641
199,0,,,,,Facebook,cryptocompare,I0C,16123,,2017-12-28 01:44:28.504659
200,0,,,,,Facebook,cryptocompare,IBANK,23745,,2017-12-28 01:44:28.962207
201,0,,,,,Facebook,cryptocompare,ICASH,5401,,2017-12-28 01:44:29.364511
202,0,,,,,Facebook,cryptocompare,ICB,4538,,2017-12-28 01:44:29.793654
203,4243,False,2573.0,https://www.facebook.com/icobox.io/,ICObox,Facebook,cryptocompare,ICOS,207775,167.0,2017-12-28 01:44:30.183789
204,0,,,,,Facebook,cryptocompare,ICX,324068,,2017-12-28 01:44:30.601064
205,0,,,,,Facebook,cryptocompare,IEC,68088,,2017-12-28 01:44:30.979578
206,0,,,,,Facebook,cryptocompare,IFC,4539,,2017-12-28 01:44:31.645503
207,0,,,,,Facebook,cryptocompare,IGNIS,231674,,2017-12-28 01:44:32.035582
208,8670,False,8390.0,https://www.facebook.com/immlaio/,IMMLA,Facebook,cryptocompare,IML,184187,28.0,2017-12-28 01:44:32.805845
209,0,,,,,Facebook,cryptocompare,IMPCH,44007,,2017-12-28 01:44:33.206918
210,0,,,,,Facebook,cryptocompare,IMS,68093,,2017-12-28 01:44:33.599123
211,0,,,,,Facebook,cryptocompare,IMX,58121,,2017-12-28 01:44:34.019018
212,0,,,,,Facebook,cryptocompare,INC,38967,,2017-12-28 01:44:34.534913
213,0,,,,,Facebook,cryptocompare,INCP,22264,,2017-12-28 01:44:35.008730
214,7024,False,6144.0,https://www.facebook.com/JoinIndorse/,Indorse,Facebook,cryptocompare,IND,185953,88.0,2017-12-28 01:44:35.629236
215,0,,,,,Facebook,cryptocompare,INDI,351078,,2017-12-28 01:44:36.151260
216,22,False,22.0,https://www.facebook.com/influxcoin/,Influxcoin,Facebook,cryptocompare,INFX,20446,0.0,2017-12-28 01:44:37.241728
217,0,,,,,Facebook,cryptocompare,INSN,105284,,2017-12-27 21:22:53.287826
218,0,,,,,Facebook,cryptocompare,INXT,344988,,2017-12-28 01:44:38.460230
