Comments,Followers,PageViews,Points,Posts,socialsource,source,symbol,symbol_id,timestamp_api_call
2,65,8203,1820,7,CryptoCompare,cryptocompare,CPC,15282,2018-01-01 15:12:55.154183
3.0,100,8241,2955,17.0,CryptoCompare,cryptocompare,CRB,17547,2018-01-01 15:09:33.630083
3,100,8241,2955,17,CryptoCompare,cryptocompare,CRB,17547,2018-01-01 15:12:56.543794
308,1780,237456,52155,183,CryptoCompare,cryptocompare,CVC,139467,2018-01-01 15:12:54.885812
308.0,1780,237456,52155,183.0,CryptoCompare,cryptocompare,CVC,139467,2018-01-01 15:09:32.030600
68,1335,117272,35555,60,CryptoCompare,cryptocompare,DCR,16713,2018-01-01 15:12:56.167081
68.0,1335,117272,35555,60.0,CryptoCompare,cryptocompare,DCR,16713,2018-01-01 15:09:32.935922
77,340,48692,11420,86,CryptoCompare,cryptocompare,DENT,141331,2018-01-01 15:12:55.019040
77.0,340,48692,11420,86.0,CryptoCompare,cryptocompare,DENT,141331,2018-01-01 15:09:31.777848
1.0,7,1059,210,1.0,CryptoCompare,cryptocompare,DIGS,12192,2018-01-01 15:09:30.953287
1,7,1059,210,1,CryptoCompare,cryptocompare,DIGS,12192,2018-01-01 15:12:53.553478
88.0,632,73047,18305,65.0,CryptoCompare,cryptocompare,DNT,177175,2018-01-01 15:09:33.754030
88,632,73047,18305,65,CryptoCompare,cryptocompare,DNT,177175,2018-01-01 15:12:56.861951
,21,5199,550,1,CryptoCompare,cryptocompare,DOGED,17549,2018-01-01 15:12:56.600926
,21,5199,550,1.0,CryptoCompare,cryptocompare,DOGED,17549,2018-01-01 15:09:33.368942
,5,915,125,,CryptoCompare,cryptocompare,DUX,105206,2018-01-01 15:09:29.801454
3,29,2888,955,8,CryptoCompare,cryptocompare,DYN,131111,2018-01-01 15:12:54.657466
3.0,29,2888,955,8.0,CryptoCompare,cryptocompare,DYN,131111,2018-01-01 15:09:31.548588
,27,1371,875,8,CryptoCompare,cryptocompare,ECC,129013,2018-01-01 15:12:53.686017
,27,1371,875,8.0,CryptoCompare,cryptocompare,ECC,129013,2018-01-01 15:09:31.231222
3.0,16,2030,505,3.0,CryptoCompare,cryptocompare,ECOB,171390,2018-01-01 15:09:33.321982
3,16,2030,505,3,CryptoCompare,cryptocompare,ECOB,171390,2018-01-01 15:12:56.456029
2.0,15,1113,420,1.0,CryptoCompare,cryptocompare,EFYT,165555,2018-01-01 15:09:32.955518
2,15,1113,420,1,CryptoCompare,cryptocompare,EFYT,165555,2018-01-01 15:12:55.777053
20.0,111,12657,3600,25.0,CryptoCompare,cryptocompare,EGC,15885,2018-01-01 15:09:32.894210
20,111,12657,3600,25,CryptoCompare,cryptocompare,EGC,15885,2018-01-01 15:12:55.846598
