CoinName,Points,Type,Name,socialsource,source,symbol,symbol_id,timestamp_api_call
Insane Coin,10720,Webpagecoinp,INSN,General,cryptocompare,INSN,105284,2018-01-01 15:09:29.626342
IOTA,975688,Webpagecoinp,IOT,General,cryptocompare,IOT,127356,2018-01-01 15:09:31.096907
iXledger,15116,Webpagecoinp,IXT,General,cryptocompare,IXT,141171,2018-01-01 15:09:32.034390
Karmacoin,1251,Webpagecoinp,KARM,General,cryptocompare,KARM,16127,2018-01-01 15:09:32.988467
Lykke,10368,Webpagecoinp,LKK,General,cryptocompare,LKK,130939,2018-01-01 15:09:31.461663
LyraBar,831,Webpagecoinp,LYB,General,cryptocompare,LYB,13281,2018-01-01 15:09:32.139481
SatoshiMadness,714,Webpagecoinp,MAD,General,cryptocompare,MAD,131079,2018-01-01 15:09:31.909297
MapCoin,393,Webpagecoinp,MAPC,General,cryptocompare,MAPC,12223,2018-01-01 15:09:30.960760
Manet Coin,160,Webpagecoinp,MAT*,General,cryptocompare,MAT*,108094,2018-01-01 15:09:30.991496
MCAP,7712,Webpagecoinp,MCAP,General,cryptocompare,MCAP,131154,2018-01-01 15:09:31.702192
Monaco,81376,Webpagecoinp,MCO,General,cryptocompare,MCO,166548,2018-01-01 15:09:33.370602
XiaoMiCoin,1440,Webpagecoinp,MI,General,cryptocompare,MI,12225,2018-01-01 15:09:31.447370
MindCoin,1227,Webpagecoinp,MND,General,cryptocompare,MND,15888,2018-01-01 15:09:32.934309
Mysterium,5741,Webpagecoinp,MYST,General,cryptocompare,MYST,136190,2018-01-01 15:09:32.430848
Nas2Coin,50,Webpagecoinp,NAS2,General,cryptocompare,NAS2,16717,2018-01-01 15:09:32.961961
NefariousCoin,152,Webpagecoinp,NEF,General,cryptocompare,NEF,112405,2018-01-01 15:09:30.607001
Nimiq Exchange Token,4158,Webpagecoinp,NET*,General,cryptocompare,NET*,176669,2018-01-01 15:09:33.674409
NeuCoin,5788,Webpagecoinp,NEU*,General,cryptocompare,NEU*,13044,2018-01-01 15:09:32.424252
Numerai,18445,Webpagecoinp,NMR,General,cryptocompare,NMR,166594,2018-01-01 15:09:33.255513
Nxt,248157,Webpagecoinp,NXT,General,cryptocompare,NXT,1183,2018-01-01 15:09:30.784301
Obits Coin,9821,Webpagecoinp,OBITS,General,cryptocompare,OBITS,15323,2018-01-01 15:09:32.230953
Pakcoin,42404,Webpagecoinp,PAK,General,cryptocompare,PAK,17006,2018-01-01 15:09:33.470735
CryptoPing,11062,Webpagecoinp,PING,General,cryptocompare,PING,177503,2018-01-01 15:09:33.761076
Polybius,17435,Webpagecoinp,PLBT,General,cryptocompare,PLBT,171884,2018-01-01 15:09:33.534496
Patientory,33713,Webpagecoinp,PTOY,General,cryptocompare,PTOY,129035,2018-01-01 15:09:31.442045
Prime-X1,654,Webpagecoinp,PXI,General,cryptocompare,PXI,15274,2018-01-01 15:09:33.046179
Quantum,39614,Webpagecoinp,QAU,General,cryptocompare,QAU,170958,2018-01-01 15:09:33.573772
Quantum Resistant Ledger,17785,Webpagecoinp,QRL,General,cryptocompare,QRL,127667,2018-01-01 15:09:31.175253
QTUM,139911,Webpagecoinp,QTUM,General,cryptocompare,QTUM,112392,2018-01-01 15:09:30.208227
Qwark,1885,Webpagecoinp,QWARK,General,cryptocompare,QWARK,116425,2018-01-01 15:09:30.433403
Radium,3912,Webpagecoinp,RADS,General,cryptocompare,RADS,15870,2018-01-01 15:09:33.107711
