closed_issues,closed_pull_issues,closed_total_issues,created_at,fork,forks,language,last_push,last_update,open_issues,open_pull_issues,open_total_issues,parent,size,socialsource,source,stars,subscribers,symbol,symbol_id,timestamp_api_call,url
0,20,20,1438809479,True,15.0,Go,1508255664,1514753514,7,2,9,"{u'Url': u'https://github.com/ethereum/go-ethereum', u'Name': u'go-ethereum', u'InternalId': 7605, u'InternalData': {u'Name': u'Ethereum', u'Url': u'/coins/eth/', u'Symbol': u'ETH', u'Id': 7605, u'Type': u'Webpagecoinp', u'ImageUrl': u'/media/20646/eth_logo.png'}}",160162,CodeRepository,cryptocompare,31.0,18.0,EXP,12194,2018-01-01 15:09:30.173774,https://github.com/expanse-org/go-expanse
0,0,0,1495804660,false,0.0,C++,1495804686,1495804690,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",1912,CodeRepository,cryptocompare,0.0,0.0,F16,108099,2018-01-01 15:12:53.747947,https://github.com/f16coin/air
0,0,0,1495804660,False,0.0,C++,1495804686,1495804690,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",1912,CodeRepository,cryptocompare,0.0,0.0,F16,108099,2018-01-01 15:09:31.608285,https://github.com/f16coin/air
0,7,7,1410387286,false,43.0,Go,1514480786,1513696192,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",7129,CodeRepository,cryptocompare,181.0,80.0,FCT,13280,2018-01-01 15:12:54.147211,https://github.com/FactomProject/FactomCode
0,7,7,1410387286,False,43.0,Go,1514480786,1513696192,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",7129,CodeRepository,cryptocompare,181.0,80.0,FCT,13280,2018-01-01 15:09:31.873419,https://github.com/FactomProject/FactomCode
0,0,0,1440097152,false,12.0,C++,1440098607,1506976523,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",1534,CodeRepository,cryptocompare,5.0,4.0,GCR,12217,2018-01-01 15:12:53.996612,https://github.com/globalcurrencyreserve/gcr
0,0,0,1440097152,False,12.0,C++,1440098607,1506976523,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",1534,CodeRepository,cryptocompare,5.0,4.0,GCR,12217,2018-01-01 15:09:30.589589,https://github.com/globalcurrencyreserve/gcr
7,0,7,1437145836,True,7.0,C++,1514157275,1513802137,1,0,1,"{u'Url': u'https://github.com/bitcoin/bitcoin', u'Name': u'bitcoin', u'InternalId': 1182, u'InternalData': {u'Name': u'Bitcoin', u'Url': u'/coins/btc/', u'Symbol': u'BTC', u'Id': 1182, u'Type': u'Webpagecoinp', u'ImageUrl': u'/media/19633/btc.png'}}",76025,CodeRepository,cryptocompare,8.0,11.0,GRS,13070,2018-01-01 15:09:32.412169,https://github.com/Groestlcoin/groestlcoin
7,0,7,1437145836,true,7.0,C++,1514157275,1513802137,1,0,1,"{u'Url': u'https://github.com/bitcoin/bitcoin', u'Name': u'bitcoin', u'InternalId': 1182, u'InternalData': {u'Name': u'Bitcoin', u'Url': u'/coins/btc/', u'Symbol': u'BTC', u'Id': 1182, u'Type': u'Webpagecoinp', u'ImageUrl': u'/media/19633/btc.png'}}",76025,CodeRepository,cryptocompare,8.0,11.0,GRS,13070,2018-01-01 15:12:53.947241,https://github.com/Groestlcoin/groestlcoin
0,0,0,1495906021,false,0.0,C++,1495906723,1495906044,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",5953,CodeRepository,cryptocompare,0.0,0.0,HAMS,112363,2018-01-01 15:12:52.082320,https://github.com/Hamstercoindev/hamstercoin
