Points,account_creation,favourites,followers,following,link,lists,name,socialsource,source,statuses,symbol,symbol_id,timestamp_api_call
28,1499865379,0,13,0,https://twitter.com/BECKSANG_CORP,3,BECKSANG,Twitter,cryptocompare,18,ARI*,235221,2017-12-30 17:56:00.691946
46854,1473559652,1151,43238,2747,https://twitter.com/ArkEcosystem,723,ARK.io,Twitter,cryptocompare,1064,ARK,32699,2017-12-30 17:56:14.368364
0,,,,,,,,Twitter,cryptocompare,,ARM,28654,2017-12-30 17:56:07.637075
3929,1501152163,8,3704,0,https://twitter.com/aeron_aero,45,Aeron Aero,Twitter,cryptocompare,166,ARN,335127,2017-12-30 17:56:16.464904
550,1503391716,88,505,17,https://twitter.com/ArnaGenomics,9,ARNA Genomics,Twitter,cryptocompare,85,ARNA*,303888,2017-12-30 17:56:11.290902
0,,,,,,,,Twitter,cryptocompare,,ARPA,60618,2017-12-30 17:56:45.990538
1631,1469059927,205,1436,161,https://twitter.com/maecenasart,39,Maecenas,Twitter,cryptocompare,252,ART,311558,2017-12-30 17:56:12.486311
1023,1475757473,15,978,2273,https://twitter.com/allsafetoken,9,Allsafe Token,Twitter,cryptocompare,26,ASAFE2,38367,2017-12-30 17:56:25.473449
20,1428519377,0,10,1,https://twitter.com/Dev_Ascension,2,Ascension Dev,Twitter,cryptocompare,3,ASN,5356,2017-12-30 17:56:44.173879
12547,1492967423,213,11682,12,https://twitter.com/airswap,173,AirSwap,Twitter,cryptocompare,266,AST,337162,2017-12-30 17:56:18.302815
0,,,,,,,,Twitter,cryptocompare,,AST*,38959,2017-12-30 17:56:26.126940
1276,1503488332,74,1151,95,https://twitter.com/astronautcap,25,Astronaut,Twitter,cryptocompare,188,ASTRO,387875,2017-12-30 17:56:25.671205
3034,1493038436,0,2834,132,https://twitter.com/atbcoincom,40,ATBCoin,Twitter,cryptocompare,328,ATB,175618,2017-12-30 17:55:44.893886
0,,,,,,,,Twitter,cryptocompare,,ATCC,339419,2017-12-30 17:56:17.665046
1742,1505373921,116,1712,82,https://twitter.com/AtfsLab,6,ATFS LAB,Twitter,cryptocompare,135,ATFS,375855,2017-12-30 17:56:25.340648
95,1505760782,43,70,20,https://twitter.com/atoken9,5,A-TOKEN,Twitter,cryptocompare,32,ATKN,310392,2017-12-30 17:56:12.172741
3402,1499329360,4,3127,56,https://twitter.com/atlantio,55,ATLANT.io Platform,Twitter,cryptocompare,151,ATL,235213,2017-12-30 17:56:00.763903
0,,,,,,,,Twitter,cryptocompare,,ATM,28023,2017-12-30 17:56:03.075073
955,1486682124,7,845,79,https://twitter.com/thenovusphere,22,Novus,Twitter,cryptocompare,45,ATMS,61902,2017-12-30 17:56:49.142961
19029,1480345373,3,18934,37,https://twitter.com/AtomcoinProject,19,Atomic Coin,Twitter,cryptocompare,61,ATOM,29721,2017-12-30 17:56:09.978287
6115,1472708119,5792,5445,1,https://twitter.com/cosmos_hq,134,Cosmos Network,Twitter,cryptocompare,200,ATOM*,199107,2017-12-30 17:55:49.852688
11959,1502454652,44,11799,2,https://twitter.com/authorship_com,32,Authorship,Twitter,cryptocompare,82,ATS,345017,2017-12-30 17:56:18.714230
0,,,,,,,,Twitter,cryptocompare,,ATX,33871,2017-12-30 17:56:16.640153
4131,1390299449,132,3516,1137,https://twitter.com/auroracoinIS,123,auroracoin,Twitter,cryptocompare,709,AUR,4333,2017-12-30 17:56:32.083542
770,1489492268,203,715,13,https://twitter.com/AureusCC,11,Aureus.cc,Twitter,cryptocompare,165,AURS,341400,2017-12-30 17:56:18.718726
1613,1497167552,74,1573,376,https://twitter.com/autoriacoin,8,Autoria,Twitter,cryptocompare,328,AUT,206001,2017-12-30 17:55:50.760381
4415,1501330434,0,4265,306,https://twitter.com/Authoreonio,30,Authoreon.io,Twitter,cryptocompare,65,AUTH,222200,2017-12-30 17:55:59.048692
0,,,,,,,,Twitter,cryptocompare,,AV,38026,2017-12-30 17:56:24.471249
2150,1499311215,1427,2045,446,https://twitter.com/Avalonplatform,21,Avalon Platform,Twitter,cryptocompare,702,AVA,248300,2017-12-30 17:56:02.192178
24,1507281205,0,24,25,https://twitter.com/Avesta_io,0,@Avesta,Twitter,cryptocompare,3,AVE,362627,2017-12-30 17:56:21.013769
86884,1479217679,515,86099,150,https://twitter.com/aventussystems,157,Aventus,Twitter,cryptocompare,573,AVT,138642,2017-12-30 17:55:43.181431
600,1437715777,44,520,1889,https://twitter.com/AxiomCrypto,16,Axiom Cryptocurrency,Twitter,cryptocompare,19,AXIOM,8693,2017-12-30 17:56:52.001248
0,,,,,,,,Twitter,cryptocompare,,AXR,4334,2017-12-30 17:56:32.072483
572,1503239411,43,527,846,https://twitter.com/Ai_XChange,9,AiX,Twitter,cryptocompare,331,AXT,372029,2017-12-30 17:56:23.449395
1512,1473660213,22,1457,1,https://twitter.com/b2broker_net,11,B2Broker,Twitter,cryptocompare,242,B2B,517795,2017-12-30 17:56:39.493472
0,,,,,,,,Twitter,cryptocompare,,B3,28333,2017-12-30 17:56:07.546482
0,,,,,,,,Twitter,cryptocompare,,B@,56078,2017-12-30 17:56:46.378586
47,1453362637,0,32,5,https://twitter.com/bitalphacoin,3,bitalphacoin,Twitter,cryptocompare,1,BAC,20348,2017-12-30 17:55:50.125385
342,1458031867,197,307,192,https://twitter.com/LakeBanker,7,LakeBanker,Twitter,cryptocompare,261,BAC*,329507,2017-12-30 17:56:14.432179
267,1443359967,1,252,343,https://twitter.com/BabesAndNerds,3,Babes&Nerds,Twitter,cryptocompare,82,BAN,43247,2017-12-30 17:56:29.830417
18236,1507581547,35,18161,84,https://twitter.com/TBISINC,15,TBIS Inc.,Twitter,cryptocompare,131,BAR,354771,2017-12-30 17:56:19.367024
445,1494344601,7,390,16,https://twitter.com/BitAseanTeam,11,BitAsean,Twitter,cryptocompare,39,BAS,586638,2017-12-30 17:56:46.802699
19,1287129134,3,9,31,https://twitter.com/LuckChain ,2,Brandon Alexander,Twitter,cryptocompare,132,BASH,33129,2017-12-30 17:56:17.576450
50278,1489446147,643,46468,104,https://twitter.com/attentiontoken,762,BasicAttentionToken,Twitter,cryptocompare,358,BAT,107672,2017-12-30 17:55:40.761432
795,1415189882,197,715,239,https://twitter.com/BitBayMarket,16,Bitcoin Addiction,Twitter,cryptocompare,237,BAY,5300,2017-12-30 17:56:42.402383
19,1445897841,0,14,61,https://twitter.com/BBCCTeam,1,BaseballCardCoin,Twitter,cryptocompare,8,BBCC,29554,2017-12-30 17:56:09.874338
790,1401668557,2,685,9,https://twitter.com/BoolberryBBR,21,Boolberry,Twitter,cryptocompare,36,BBR,5343,2017-12-30 17:56:43.667651
2833,1480784071,695,2698,259,https://twitter.com/Bitboosters,27,bitboost,Twitter,cryptocompare,769,BBT,398648,2017-12-30 17:56:26.686998
3317,1492813774,743,3097,279,https://twitter.com/brickblock_io,44,Brickblock.io,Twitter,cryptocompare,257,BBT*,198474,2017-12-30 17:55:48.734546
12736,1423771590,1160,10756,159,https://twitter.com/blockchaincap,396,Blockchain Capital,Twitter,cryptocompare,941,BCAP,72955,2017-12-30 17:56:50.560756
26376,1458455073,17,25011,0,https://twitter.com/bitconnect,273,BitConnect,Twitter,cryptocompare,776,BCCOIN,35165,2017-12-30 17:56:19.484500
26850,1510040769,664,26500,224,https://twitter.com/BitcoinDiamond_,70,Bitcoin Diamond,Twitter,cryptocompare,346,BCD,409492,2017-12-30 17:56:26.536517
3810,1490799834,7,3670,65,https://twitter.com/bitcadplatform,28,BitCAD,Twitter,cryptocompare,90,BCD*,419930,2017-12-30 17:56:28.485430
719,1417075385,0,664,785,https://twitter.com/BitCoinFastTeam,11,BitCoinFast [BCF],Twitter,cryptocompare,70,BCF,34854,2017-12-30 17:56:18.677432
0,,,,,,,,Twitter,cryptocompare,,BCH,202330,2017-12-30 17:32:32.866329
6645,1427464226,105,5930,347,https://twitter.com/bytecoin_dev,143,Bytecoin Team,Twitter,cryptocompare,401,BCN,5280,2017-12-30 17:56:40.291933
6769,1499793415,355,6279,34,https://twitter.com/CryptoBridge,98,CryptoBridge,Twitter,cryptocompare,561,BCO*,422188,2017-12-30 17:56:28.909512
11446,1218647717,3915,11147,38,https://twitter.com/BannerView,59,BannerView.com,Twitter,cryptocompare,4538,BCOIN,536905,2017-12-30 17:56:45.349802
2804,1498742027,84,2564,190,https://twitter.com/blockmasonio,48,Blockmason,Twitter,cryptocompare,215,BCPT,374281,2017-12-30 17:56:25.084049
936,1384472416,6,876,42,https://twitter.com/yvg1900,12,yvg1900,Twitter,cryptocompare,344,BCR,5345,2017-12-30 17:56:44.571240
1586,1389641467,3,1541,59,https://twitter.com/BattlecoinBCX,9,BattleCoin,Twitter,cryptocompare,139,BCX,4335,2017-12-30 17:56:31.737230
7739,1512655257,5,7699,141,https://twitter.com/bcx_team,8,BCX,Twitter,cryptocompare,123,BCX*,536213,2017-12-30 17:56:45.244888
6792,1410539679,1458,5500,1034,https://twitter.com/spellsofgenesis,258,Spells of Genesis,Twitter,cryptocompare,2905,BCY,20315,2017-12-30 17:55:51.007078
10509,1503921472,3664,10214,955,https://twitter.com/bitdegree_org,59,BitDegree,Twitter,cryptocompare,298,BDG,423754,2017-12-30 17:56:28.767495
783,1498030407,0,633,0,https://twitter.com/bitdealuk,30,Bitdeal,Twitter,cryptocompare,40,BDL,374294,2017-12-30 17:56:23.850178
0,,,,,,,,Twitter,cryptocompare,,BDR,372637,2017-12-30 17:56:23.028153
34,1502684270,0,29,100,https://twitter.com/BelaCoin,1,Lorenzo Wright,Twitter,cryptocompare,10,BELA,21239,2017-12-30 17:55:53.378344
0,,,,,,,,Twitter,cryptocompare,,BEN,4336,2017-12-30 17:56:31.002019
