close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
349.67,1,JordanManual,CCCAGG,352.07,349.67,352.07,VERI,1514783340,2018-01-01 14:51:31.544669,0.4,139.97
349.22,1,JordanManual,CCCAGG,349.68,349.22,349.68,VERI,1514783520,2018-01-01 14:51:31.544669,0.9865,344.51
349.85,1,JordanManual,CCCAGG,349.85,349.36,349.36,VERI,1514783700,2018-01-01 14:51:31.544669,2.17,758.11
351.18,1,JordanManual,CCCAGG,351.18,350.56,350.56,VERI,1514783880,2018-01-01 14:51:31.544669,0.0,0.0
350.65,1,JordanManual,CCCAGG,351.04,350.65,351.04,VERI,1514784060,2018-01-01 14:51:31.544669,0.0,0.0
351.12,1,JordanManual,CCCAGG,351.17,350.95,351.17,VERI,1514784240,2018-01-01 14:51:31.544669,0.7,245.82
351.73,1,JordanManual,CCCAGG,351.73,351.35,351.35,VERI,1514784420,2018-01-01 14:51:31.544669,0.0,0.0
352.0,1,JordanManual,CCCAGG,352.07,351.89,352.07,VERI,1514784600,2018-01-01 14:51:31.544669,0.0,0.0
352.05,1,JordanManual,CCCAGG,352.2,351.97,351.97,VERI,1514784780,2018-01-01 14:51:31.544669,0.0,0.0
351.15,1,JordanManual,CCCAGG,351.8,351.15,351.8,VERI,1514784960,2018-01-01 14:51:31.544669,0.0,0.0
350.78,1,JordanManual,CCCAGG,350.8,350.59,350.8,VERI,1514785140,2018-01-01 14:51:31.544669,0.0,0.0
351.1,1,JordanManual,CCCAGG,351.1,350.73,350.73,VERI,1514785320,2018-01-01 14:51:31.544669,0.0,0.0
351.8,1,JordanManual,CCCAGG,351.8,351.21,351.21,VERI,1514785500,2018-01-01 14:51:31.544669,0.0,0.0
351.47,1,JordanManual,CCCAGG,351.83,351.47,351.83,VERI,1514785680,2018-01-01 14:51:31.544669,0.0,0.0
351.57,1,JordanManual,CCCAGG,351.8,351.57,351.74,VERI,1514785860,2018-01-01 14:51:31.544669,0.0,0.0
351.6,1,JordanManual,CCCAGG,351.6,351.58,351.58,VERI,1514786040,2018-01-01 14:51:31.544669,0.0,0.0
351.59,1,JordanManual,CCCAGG,351.59,351.55,351.59,VERI,1514786220,2018-01-01 14:51:31.544669,0.46,161.73
