Id,Id,Id.1,Id.1.1,Id.1.1.1,Id.1.1.1.1,Id.1.1.1.1.1,Id.1.1.1.1.1.1,Id.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
366,366.0,366.0,366.0,366.0,366.0,,,,,0.4747,1,JordanManual,CCCAGG,0.4747,0.4743,0.4743,NUBIS,1514423160.0,2017-12-28 09:27:39.771354,0.0,0.0
367,367.0,367.0,367.0,367.0,367.0,,,,,0.4734,1,JordanManual,CCCAGG,0.4743,0.4734,0.4743,NUBIS,1514423340.0,2017-12-28 09:27:39.771354,0.0,0.0
368,368.0,368.0,368.0,368.0,368.0,,,,,0.4714,1,JordanManual,CCCAGG,0.473,0.4714,0.473,NUBIS,1514423520.0,2017-12-28 09:27:39.771354,0.0,0.0
369,369.0,369.0,369.0,369.0,369.0,,,,,0.4735,1,JordanManual,CCCAGG,0.4735,0.4729,0.4729,NUBIS,1514423700.0,2017-12-28 09:27:39.771354,0.0,0.0
370,370.0,370.0,370.0,370.0,370.0,,,,,0.4735,1,JordanManual,CCCAGG,0.4736,0.4735,0.4736,NUBIS,1514423880.0,2017-12-28 09:27:39.771354,0.0,0.0
371,371.0,371.0,371.0,371.0,371.0,,,,,0.4754,1,JordanManual,CCCAGG,0.4754,0.4743,0.4743,NUBIS,1514424060.0,2017-12-28 09:27:39.771354,0.0,0.0
372,372.0,372.0,372.0,372.0,372.0,,,,,0.4772,1,JordanManual,CCCAGG,0.4773,0.4763,0.4763,NUBIS,1514424240.0,2017-12-28 09:27:39.771354,0.0,0.0
373,373.0,373.0,373.0,373.0,373.0,,,,,0.478,1,JordanManual,CCCAGG,0.478,0.4772,0.4772,NUBIS,1514424420.0,2017-12-28 09:27:39.771354,0.0,0.0
374,374.0,374.0,374.0,374.0,374.0,,,,,0.4786,1,JordanManual,CCCAGG,0.4786,0.478,0.478,NUBIS,1514424600.0,2017-12-28 09:27:39.771354,0.0,0.0
375,375.0,375.0,375.0,375.0,375.0,,,,,0.4783,1,JordanManual,CCCAGG,0.4786,0.4783,0.4784,NUBIS,1514424780.0,2017-12-28 09:27:39.771354,0.0,0.0
376,376.0,376.0,376.0,376.0,376.0,,,,,0.4771,1,JordanManual,CCCAGG,0.4778,0.4771,0.4778,NUBIS,1514424960.0,2017-12-28 09:27:39.771354,0.0,0.0
377,377.0,377.0,377.0,377.0,377.0,,,,,0.4763,1,JordanManual,CCCAGG,0.4765,0.4763,0.4765,NUBIS,1514425140.0,2017-12-28 09:27:39.771354,0.0,0.0
378,378.0,378.0,378.0,378.0,378.0,,,,,0.4767,1,JordanManual,CCCAGG,0.4768,0.4766,0.4766,NUBIS,1514425320.0,2017-12-28 09:27:39.771354,0.0,0.0
379,379.0,379.0,379.0,379.0,379.0,,,,,0.4779,1,JordanManual,CCCAGG,0.4779,0.477,0.477,NUBIS,1514425500.0,2017-12-28 09:27:39.771354,0.0,0.0
380,380.0,380.0,380.0,380.0,380.0,,,,,0.4776,1,JordanManual,CCCAGG,0.4777,0.4775,0.4777,NUBIS,1514425680.0,2017-12-28 09:27:39.771354,0.0,0.0
381,381.0,381.0,381.0,381.0,381.0,,,,,0.4778,1,JordanManual,CCCAGG,0.4778,0.4773,0.4773,NUBIS,1514425860.0,2017-12-28 09:27:39.771354,0.0,0.0
382,382.0,382.0,382.0,382.0,382.0,,,,,0.4785,1,JordanManual,CCCAGG,0.4785,0.4776,0.4776,NUBIS,1514426040.0,2017-12-28 09:27:39.771354,0.0,0.0
383,383.0,383.0,383.0,383.0,383.0,,,,,0.4801,1,JordanManual,CCCAGG,0.4801,0.4792,0.4792,NUBIS,1514426220.0,2017-12-28 09:27:39.771354,0.0,0.0
384,384.0,384.0,384.0,384.0,384.0,,,,,0.4815,1,JordanManual,CCCAGG,0.4815,0.4811,0.4811,NUBIS,1514426400.0,2017-12-28 09:27:39.771354,0.0,0.0
385,385.0,385.0,385.0,385.0,385.0,,,,,0.4791,1,JordanManual,CCCAGG,0.4807,0.4791,0.4807,NUBIS,1514426580.0,2017-12-28 09:27:39.771354,0.0,0.0
386,386.0,386.0,386.0,386.0,386.0,,,,,0.4798,1,JordanManual,CCCAGG,0.4802,0.4798,0.4802,NUBIS,1514426760.0,2017-12-28 09:27:39.771354,0.0,0.0
387,387.0,387.0,387.0,387.0,387.0,,,,,0.4774,1,JordanManual,CCCAGG,0.4787,0.4774,0.4787,NUBIS,1514426940.0,2017-12-28 09:27:39.771354,0.0,0.0
388,388.0,388.0,388.0,388.0,388.0,,,,,0.4748,1,JordanManual,CCCAGG,0.4774,0.4748,0.4774,NUBIS,1514427120.0,2017-12-28 09:27:39.771354,0.0,0.0
389,389.0,389.0,389.0,389.0,389.0,,,,,0.4749,1,JordanManual,CCCAGG,0.4756,0.4749,0.4753,NUBIS,1514427300.0,2017-12-28 09:27:39.771354,0.0,0.0
390,390.0,390.0,390.0,390.0,390.0,,,,,0.4738,1,JordanManual,CCCAGG,0.4743,0.4738,0.4743,NUBIS,1514427480.0,2017-12-28 09:27:39.771354,0.0,0.0
391,391.0,391.0,391.0,391.0,391.0,,,,,0.4741,1,JordanManual,CCCAGG,0.4743,0.4741,0.4742,NUBIS,1514427660.0,2017-12-28 09:27:39.771354,0.0,0.0
392,392.0,392.0,392.0,392.0,392.0,,,,,0.4748,1,JordanManual,CCCAGG,0.4749,0.4744,0.4744,NUBIS,1514427840.0,2017-12-28 09:27:39.771354,0.0,0.0
393,393.0,393.0,393.0,393.0,393.0,,,,,0.4744,1,JordanManual,CCCAGG,0.4747,0.4744,0.4747,NUBIS,1514428020.0,2017-12-28 09:27:39.771354,0.0,0.0
394,394.0,394.0,394.0,394.0,394.0,,,,,0.4707,1,JordanManual,CCCAGG,0.4727,0.4707,0.4727,NUBIS,1514428200.0,2017-12-28 09:27:39.771354,0.0,0.0
395,395.0,395.0,395.0,395.0,395.0,,,,,0.4705,1,JordanManual,CCCAGG,0.4715,0.4705,0.4715,NUBIS,1514428380.0,2017-12-28 09:27:39.771354,0.0,0.0
396,396.0,396.0,396.0,396.0,396.0,,,,,0.465,1,JordanManual,CCCAGG,0.4713,0.465,0.4713,NUBIS,1514428560.0,2017-12-28 09:27:39.771354,0.0,0.0
397,397.0,397.0,397.0,397.0,397.0,,,,,0.4628,1,JordanManual,CCCAGG,0.4628,0.4612,0.462,NUBIS,1514428740.0,2017-12-28 09:27:39.771354,0.0,0.0
398,398.0,398.0,398.0,398.0,398.0,,,,,0.4579,1,JordanManual,CCCAGG,0.4617,0.4579,0.4617,NUBIS,1514428920.0,2017-12-28 09:27:39.771354,0.0,0.0
399,399.0,399.0,399.0,399.0,399.0,,,,,0.4525,1,JordanManual,CCCAGG,0.4556,0.4525,0.4556,NUBIS,1514429100.0,2017-12-28 09:27:39.771354,0.0,0.0
400,400.0,400.0,400.0,400.0,400.0,,,,,0.4473,1,JordanManual,CCCAGG,0.45,0.4473,0.45,NUBIS,1514429280.0,2017-12-28 09:27:39.771354,0.0,0.0
