Id,Id,Id.1,Id.1.1,Id.1.1.1,Id.1.1.1.1,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
31,31.0,31.0,31.0,31.0,31.0,0.12,1,JordanManual,CCCAGG,0.28,0.12,0.28,PQT,1514362860.0,2017-12-28 09:08:52.177156,1.0,0.12
32,32.0,32.0,32.0,32.0,32.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514363040.0,2017-12-28 09:08:52.177156,0.0,0.0
33,33.0,33.0,33.0,33.0,33.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514363220.0,2017-12-28 09:08:52.177156,0.0,0.0
34,34.0,34.0,34.0,34.0,34.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514363400.0,2017-12-28 09:08:52.177156,0.0,0.0
35,35.0,35.0,35.0,35.0,35.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514363580.0,2017-12-28 09:08:52.177156,0.0,0.0
36,36.0,36.0,36.0,36.0,36.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514363760.0,2017-12-28 09:08:52.177156,0.0,0.0
37,37.0,37.0,37.0,37.0,37.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514363940.0,2017-12-28 09:08:52.177156,0.0,0.0
38,38.0,38.0,38.0,38.0,38.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514364120.0,2017-12-28 09:08:52.177156,0.0,0.0
39,39.0,39.0,39.0,39.0,39.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514364300.0,2017-12-28 09:08:52.177156,0.0,0.0
40,40.0,40.0,40.0,40.0,40.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514364480.0,2017-12-28 09:08:52.177156,0.0,0.0
41,41.0,41.0,41.0,41.0,41.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514364660.0,2017-12-28 09:08:52.177156,0.0,0.0
42,42.0,42.0,42.0,42.0,42.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514364840.0,2017-12-28 09:08:52.177156,0.0,0.0
43,43.0,43.0,43.0,43.0,43.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514365020.0,2017-12-28 09:08:52.177156,0.0,0.0
44,44.0,44.0,44.0,44.0,44.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514365200.0,2017-12-28 09:08:52.177156,0.0,0.0
45,45.0,45.0,45.0,45.0,45.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514365380.0,2017-12-28 09:08:52.177156,0.0,0.0
46,46.0,46.0,46.0,46.0,46.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514365560.0,2017-12-28 09:08:52.177156,0.0,0.0
47,47.0,47.0,47.0,47.0,47.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514365740.0,2017-12-28 09:08:52.177156,0.0,0.0
48,48.0,48.0,48.0,48.0,48.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514365920.0,2017-12-28 09:08:52.177156,0.0,0.0
49,49.0,49.0,49.0,49.0,49.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514366100.0,2017-12-28 09:08:52.177156,0.0,0.0
50,50.0,50.0,50.0,50.0,50.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514366280.0,2017-12-28 09:08:52.177156,0.0,0.0
51,51.0,51.0,51.0,51.0,51.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514366460.0,2017-12-28 09:08:52.177156,0.0,0.0
52,52.0,52.0,52.0,52.0,52.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514366640.0,2017-12-28 09:08:52.177156,0.0,0.0
53,53.0,53.0,53.0,53.0,53.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514366820.0,2017-12-28 09:08:52.177156,0.0,0.0
54,54.0,54.0,54.0,54.0,54.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514367000.0,2017-12-28 09:08:52.177156,0.0,0.0
55,55.0,55.0,55.0,55.0,55.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514367180.0,2017-12-28 09:08:52.177156,0.0,0.0
56,56.0,56.0,56.0,56.0,56.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514367360.0,2017-12-28 09:08:52.177156,0.0,0.0
57,57.0,57.0,57.0,57.0,57.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514367540.0,2017-12-28 09:08:52.177156,0.0,0.0
58,58.0,58.0,58.0,58.0,58.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514367720.0,2017-12-28 09:08:52.177156,0.0,0.0
59,59.0,59.0,59.0,59.0,59.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514367900.0,2017-12-28 09:08:52.177156,0.0,0.0
60,60.0,60.0,60.0,60.0,60.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514368080.0,2017-12-28 09:08:52.177156,0.0,0.0
61,61.0,61.0,61.0,61.0,61.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514368260.0,2017-12-28 09:08:52.177156,0.0,0.0
62,62.0,62.0,62.0,62.0,62.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514368440.0,2017-12-28 09:08:52.177156,0.0,0.0
63,63.0,63.0,63.0,63.0,63.0,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514368620.0,2017-12-28 09:08:52.177156,0.0,0.0
64,64.0,64.0,64.0,64.0,64.0,0.13,1,JordanManual,CCCAGG,0.13,0.12,0.12,PQT,1514368800.0,2017-12-28 09:08:52.177156,0.01,0.0013
65,65.0,65.0,65.0,65.0,65.0,0.13,1,JordanManual,CCCAGG,0.13,0.13,0.13,PQT,1514368980.0,2017-12-28 09:08:52.177156,0.0,0.0
66,66.0,66.0,66.0,66.0,66.0,0.13,1,JordanManual,CCCAGG,0.13,0.13,0.13,PQT,1514369160.0,2017-12-28 09:08:52.177156,0.0,0.0
67,67.0,67.0,67.0,67.0,67.0,0.13,1,JordanManual,CCCAGG,0.13,0.13,0.13,PQT,1514369340.0,2017-12-28 09:08:52.177156,0.0,0.0
68,68.0,68.0,68.0,68.0,68.0,0.13,1,JordanManual,CCCAGG,0.13,0.13,0.13,PQT,1514369520.0,2017-12-28 09:08:52.177156,0.01,0.0025
69,69.0,69.0,69.0,69.0,69.0,0.13,1,JordanManual,CCCAGG,0.13,0.13,0.13,PQT,1514369700.0,2017-12-28 09:08:52.177156,0.0,0.0
70,70.0,70.0,70.0,70.0,70.0,0.13,1,JordanManual,CCCAGG,0.13,0.13,0.13,PQT,1514369880.0,2017-12-28 09:08:52.177156,0.0,0.0
71,71.0,71.0,71.0,71.0,71.0,0.13,1,JordanManual,CCCAGG,0.13,0.13,0.13,PQT,1514370060.0,2017-12-28 09:08:52.177156,0.0,0.0
72,72.0,72.0,72.0,72.0,72.0,0.13,1,JordanManual,CCCAGG,0.13,0.13,0.13,PQT,1514370240.0,2017-12-28 09:08:52.177156,0.0,0.0
73,73.0,73.0,73.0,73.0,73.0,0.13,1,JordanManual,CCCAGG,0.13,0.13,0.13,PQT,1514370420.0,2017-12-28 09:08:52.177156,0.0,0.0
74,74.0,74.0,74.0,74.0,74.0,0.15,1,JordanManual,CCCAGG,0.25,0.15,0.25,PQT,1514370600.0,2017-12-28 09:08:52.177156,0.01,0.0015
75,75.0,75.0,75.0,75.0,75.0,0.15,1,JordanManual,CCCAGG,0.15,0.15,0.15,PQT,1514370780.0,2017-12-28 09:08:52.177156,0.0,0.0
76,76.0,76.0,76.0,76.0,76.0,0.15,1,JordanManual,CCCAGG,0.15,0.15,0.15,PQT,1514370960.0,2017-12-28 09:08:52.177156,0.0,0.0
77,77.0,77.0,77.0,77.0,77.0,0.15,1,JordanManual,CCCAGG,0.15,0.15,0.15,PQT,1514371140.0,2017-12-28 09:08:52.177156,0.0,0.0
78,78.0,78.0,78.0,78.0,78.0,0.15,1,JordanManual,CCCAGG,0.15,0.15,0.15,PQT,1514371320.0,2017-12-28 09:08:52.177156,0.0,0.0
79,79.0,79.0,79.0,79.0,79.0,0.15,1,JordanManual,CCCAGG,0.15,0.15,0.15,PQT,1514371500.0,2017-12-28 09:08:52.177156,0.0,0.0
80,80.0,80.0,80.0,80.0,80.0,0.15,1,JordanManual,CCCAGG,0.15,0.15,0.15,PQT,1514371680.0,2017-12-28 09:08:52.177156,0.0,0.0
81,81.0,81.0,81.0,81.0,81.0,0.15,1,JordanManual,CCCAGG,0.15,0.15,0.15,PQT,1514371860.0,2017-12-28 09:08:52.177156,0.0,0.0
82,82.0,82.0,82.0,82.0,82.0,0.15,1,JordanManual,CCCAGG,0.15,0.15,0.15,PQT,1514372040.0,2017-12-28 09:08:52.177156,0.0,0.0
83,83.0,83.0,83.0,83.0,83.0,0.15,1,JordanManual,CCCAGG,0.15,0.15,0.15,PQT,1514372220.0,2017-12-28 09:08:52.177156,0.0,0.0
84,84.0,84.0,84.0,84.0,84.0,0.15,1,JordanManual,CCCAGG,0.15,0.15,0.15,PQT,1514372400.0,2017-12-28 09:08:52.177156,0.0,0.0
85,85.0,85.0,85.0,85.0,85.0,0.15,1,JordanManual,CCCAGG,0.15,0.15,0.15,PQT,1514372580.0,2017-12-28 09:08:52.177156,0.0,0.0
86,86.0,86.0,86.0,86.0,86.0,0.15,1,JordanManual,CCCAGG,0.15,0.15,0.15,PQT,1514372760.0,2017-12-28 09:08:52.177156,0.0,0.0
87,87.0,87.0,87.0,87.0,87.0,0.15,1,JordanManual,CCCAGG,0.15,0.15,0.15,PQT,1514372940.0,2017-12-28 09:08:52.177156,0.0,0.0
88,88.0,88.0,88.0,88.0,88.0,0.15,1,JordanManual,CCCAGG,0.15,0.15,0.15,PQT,1514373120.0,2017-12-28 09:08:52.177156,0.0,0.0
