Id,Id,Id.1,Id.1.1,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
128,128.0,128.0,128.0,0.222,1,JordanManual,CCCAGG,0.222,0.222,0.222,XLM,1514352960,2017-12-28 01:33:07.151351,2210.66,494.51
129,129.0,129.0,129.0,0.2226,1,JordanManual,CCCAGG,0.2228,0.222,0.222,XLM,1514353140,2017-12-28 01:33:07.151351,105.9,23.56
130,130.0,130.0,130.0,0.2226,1,JordanManual,CCCAGG,0.2226,0.2226,0.2226,XLM,1514353320,2017-12-28 01:33:07.151351,5959.6,1329.68
131,131.0,131.0,131.0,0.2226,1,JordanManual,CCCAGG,0.2226,0.2226,0.2226,XLM,1514353500,2017-12-28 01:33:07.151351,5498.72,1224.68
132,132.0,132.0,132.0,0.2226,1,JordanManual,CCCAGG,0.2226,0.2226,0.2226,XLM,1514353680,2017-12-28 01:33:07.151351,50310.68,11193.41
133,133.0,133.0,133.0,0.2238,1,JordanManual,CCCAGG,0.2238,0.2238,0.2238,XLM,1514353860,2017-12-28 01:33:07.151351,2659.63,596.39
134,134.0,134.0,134.0,0.2238,1,JordanManual,CCCAGG,0.2238,0.2238,0.2238,XLM,1514354040,2017-12-28 01:33:07.151351,1005.36,225.94
135,135.0,135.0,135.0,0.22,1,JordanManual,CCCAGG,0.2245,0.22,0.2238,XLM,1514354220,2017-12-28 01:33:07.151351,151095.93,33435.39
136,136.0,136.0,136.0,0.2232,1,JordanManual,CCCAGG,0.2248,0.2232,0.2236,XLM,1514354400,2017-12-28 01:33:07.151351,6589.02,1480.29
137,137.0,137.0,137.0,0.2248,1,JordanManual,CCCAGG,0.2248,0.2232,0.2232,XLM,1514354580,2017-12-28 01:33:07.151351,37403.65,8405.21
138,138.0,138.0,138.0,0.2239,1,JordanManual,CCCAGG,0.2248,0.2239,0.2248,XLM,1514354760,2017-12-28 01:33:07.151351,17851.73,3999.82
139,139.0,139.0,139.0,0.2239,1,JordanManual,CCCAGG,0.2239,0.2239,0.2239,XLM,1514354940,2017-12-28 01:33:07.151351,34159.98,7678.4
140,140.0,140.0,140.0,0.2239,1,JordanManual,CCCAGG,0.2239,0.2239,0.2239,XLM,1514355120,2017-12-28 01:33:07.151351,2897.31,649.42
141,141.0,141.0,141.0,0.2239,1,JordanManual,CCCAGG,0.2239,0.2239,0.2239,XLM,1514355300,2017-12-28 01:33:07.151351,2125.76,475.83
142,142.0,142.0,142.0,0.2238,1,JordanManual,CCCAGG,0.2238,0.2238,0.2238,XLM,1514355480,2017-12-28 01:33:07.151351,23529.31,5273.0
143,143.0,143.0,143.0,0.2235,1,JordanManual,CCCAGG,0.2237,0.2235,0.2237,XLM,1514355660,2017-12-28 01:33:07.151351,50089.57,11195.12
144,144.0,144.0,144.0,0.2235,1,JordanManual,CCCAGG,0.2235,0.2235,0.2235,XLM,1514355840,2017-12-28 01:33:07.151351,10436.39,2330.16
145,145.0,145.0,145.0,0.2235,1,JordanManual,CCCAGG,0.2235,0.2235,0.2235,XLM,1514356020,2017-12-28 01:33:07.151351,5178.44,1159.11
146,146.0,146.0,146.0,0.2232,1,JordanManual,CCCAGG,0.2245,0.2232,0.2235,XLM,1514356200,2017-12-28 01:33:07.151351,5355.06,1200.52
147,147.0,147.0,147.0,0.2243,1,JordanManual,CCCAGG,0.2245,0.2232,0.2232,XLM,1514356380,2017-12-28 01:33:07.151351,225.0,50.47
148,148.0,148.0,148.0,0.2243,1,JordanManual,CCCAGG,0.2243,0.2231,0.2243,XLM,1514356560,2017-12-28 01:33:07.151351,1000.99,223.64
149,149.0,149.0,149.0,0.2243,1,JordanManual,CCCAGG,0.2243,0.2243,0.2243,XLM,1514356740,2017-12-28 01:33:07.151351,19461.08,4339.96
150,150.0,150.0,150.0,0.223,1,JordanManual,CCCAGG,0.223,0.223,0.223,XLM,1514356920,2017-12-28 01:33:07.151351,25470.35,5684.17
