Id,Id,Id.1,Id.1.1,Id.1.1.1,Id.1.1.1.1,Id.1.1.1.1.1,Id.1.1.1.1.1.1,Id.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1.1.1,has_pricing,symbol
148,,,,,,,,,,,,1,BCAP
149,149.0,,,,,,,,,,,1,BCCOIN
150,150.0,,,,,,,,,,,1,BCD
151,151.0,151.0,,,,,,,,,,0,BCD*
152,152.0,152.0,152.0,,,,,,,,,1,BCF
153,153.0,153.0,,,,,,,,,,1,BCH
154,154.0,154.0,,,,,,,,,,1,BCN
155,,,,,,,,,,,,0,BCO*
156,156.0,156.0,,,,,,,,,,1,BCOIN
157,,,,,,,,,,,,1,BCPT
158,,,,,,,,,,,,1,BCR
159,159.0,159.0,,,,,,,,,,1,BCX
160,,,,,,,,,,,,0,BCX*
161,,,,,,,,,,,,1,BCY
162,,,,,,,,,,,,0,BDG
163,,,,,,,,,,,,1,BDL
164,,,,,,,,,,,,0,BDR
165,,,,,,,,,,,,0,BELA
166,166.0,166.0,166.0,166.0,,,,,,,,1,BEN
167,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,,,1,BENJI
168,,,,,,,,,,,,1,BERN
169,169.0,169.0,169.0,169.0,,,,,,,,1,BEST
170,,,,,,,,,,,,1,BET
171,,,,,,,,,,,,1,BET*
172,172.0,172.0,172.0,172.0,,,,,,,,1,BFX
173,173.0,,,,,,,,,,,1,BHC
174,174.0,,,,,,,,,,,1,BHC*
175,175.0,175.0,175.0,175.0,,,,,,,,1,BIC
176,176.0,176.0,,,,,,,,,,1,BIGUP
177,,,,,,,,,,,,1,BIO
178,,,,,,,,,,,,1,BIOB
179,,,,,,,,,,,,1,BIOS
180,,,,,,,,,,,,1,BIP
181,181.0,181.0,,,,,,,,,,0,BIS
182,,,,,,,,,,,,1,BIT16
183,183.0,183.0,,,,,,,,,,0,BITB
184,,,,,,,,,,,,0,BITCNY
185,,,,,,,,,,,,1,BITOK
186,,,,,,,,,,,,1,BITS
187,187.0,187.0,,,,,,,,,,0,BITSD
188,188.0,188.0,,,,,,,,,,0,BITUSD
189,,,,,,,,,,,,1,BITZ
190,,,,,,,,,,,,0,BKX
191,,,,,,,,,,,,0,BLAS
192,,,,,,,,,,,,1,BLAZR
193,,,,,,,,,,,,1,BLC
194,194.0,194.0,194.0,,,,,,,,,0,BLITZ
195,195.0,,,,,,,,,,,1,BLK
196,196.0,196.0,,,,,,,,,,1,BLOCK
197,197.0,197.0,,,,,,,,,,0,BLOCKPAY
198,198.0,,,,,,,,,,,1,BLRY
199,199.0,199.0,,,,,,,,,,0,BLU
200,200.0,200.0,,,,,,,,,,0,BLUE
201,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,,,1,BLX
202,,,,,,,,,,,,1,BM
203,,,,,,,,,,,,0,BM*
204,,,,,,,,,,,,0,BMC
205,205.0,,,,,,,,,,,1,BMT
206,206.0,206.0,206.0,,,,,,,,,0,BMXT
207,,,,,,,,,,,,1,BNB
208,208.0,208.0,208.0,,,,,,,,,0,BNB*
209,209.0,209.0,,,,,,,,,,0,BNC
210,210.0,210.0,,,,,,,,,,0,BNK
211,,,,,,,,,,,,1,BNT
212,,,,,,,,,,,,0,BNTY
213,213.0,,,,,,,,,,,1,BNX
214,,,,,,,,,,,,0,BOAT
215,215.0,,,,,,,,,,,1,BOB
216,,,,,,,,,,,,0,BOG
217,217.0,217.0,,,,,,,,,,1,BOLI
218,218.0,218.0,,,,,,,,,,1,BOMB
