Algorithm,CHANGE24HOUR,CHANGEDAY,CHANGEPCT24HOUR,CHANGEPCTDAY,CoinName,FLAGS,FROMSYMBOL,FullName,FullyPremined,HIGH24HOUR,HIGHDAY,Id,ImageUrl,LASTMARKET,LASTTRADEID,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,LOW24HOUR,LOWDAY,MARKET,MKTCAP,Name,OPEN24HOUR,OPENDAY,PRICE,PreMinedValue,ProofType,SUPPLY,SortOrder,Sponsored,Symbol,TOSYMBOL,TOTALVOLUME24H,TOTALVOLUME24HTO,TYPE,TotalCoinSupply,TotalCoinsFreeFloat,Url,VOLUME24HOUR,VOLUME24HOURTO,VOLUMEDAY,VOLUMEDAYTO,coin,coin_units,computer_name,source,timestamp_api_call
X11,,,,,MapCoin,,,MapCoin (MAPC),0.0,,,12223.0,/media/20710/mapc.png,,,,,,,,,,MAPC,,,,,PoS,,467.0,0.0,MAPC,,,,,2228921.184,,/coins/mapc/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
Scrypt,,,,,XiaoMiCoin,,,XiaoMiCoin (MI),0.0,,,12225.0,/media/20711/mi.png,,,,,,,,,,MI,,,,,PoW/PoS,,468.0,0.0,MI,,,,,400000000,,/coins/mi/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,IOTA,,,IOTA (IOT),1.0,,,127356.0,/media/1383540/iota_logo.png,,,,,,,,,,IOT,,,,,Tangle,,1247.0,0.0,IOT,,,,,2779530283,,/coins/iot/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Quantum Resistant Ledger,,,Quantum Resistant Ledger (QRL),0.0,,,127667.0,/media/1383543/qrl.png,,,,,,,,,,QRL,,,,,PoS,,1248.0,0.0,QRL,,,,,65000000,,/coins/qrl/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Adelphoi,,,Adelphoi (ADL),0.0,,,127738.0,/media/1383544/adl.png,,,,,,,,,,ADL,,,,,,,1249.0,0.0,ADL,,,,,100000000,,/coins/adl/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
Scrypt,,,,,E-CurrencyCoin,,,E-CurrencyCoin (ECC),0.0,,,129013.0,/media/1383546/ecc.png,,,,,,,,,,ECC,,,,,PoW/PoS,,1250.0,0.0,ECC,,,,,25000000000,,/coins/ecc/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Patientory,,,Patientory (PTOY),0.0,,,129035.0,/media/1383547/ptoy.png,,,,,,,,,,PTOY,,,,,,,1251.0,0.0,PTOY,,,,,100002000,,/coins/ptoy/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,ZrCoin,,,ZrCoin (ZRC),0.0,,,129604.0,/media/1383548/xzc.png,,,,,,,,,,ZRC,,,,,,,1252.0,0.0,ZRC,,,,,4988894,,/coins/zrc/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
X13,,,,,Paycon,,,Paycon (CON_),0.0,,,12985.0,/media/20717/con_.png,,,,,,,,,,CON_,,,,,PoW/PoS,,469.0,0.0,CON,,,,,50000000,,/coins/con_/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,NeuCoin,,,NeuCoin (NEU*),0.0,,,13044.0,/media/20721/neu.png,,,,,,,,,,NEU*,,,,,PoS,,470.0,0.0,NEU*,,,,,100000000000,,/coins/neustar/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
